Team	Wins	Losses	Win %	Avg Elo Gain	Total Elo Gain
RadicalOnlineXtremists	11	4	73.33%	-	-
NorthAmericanRejects	12	5	70.59%	-	-
ViciGaming	20	10	66.67%	-	-
Newbee	22	12	64.71%	-	-
EvilGeniuses	14	8	63.64%	-	-
LGDGAMING	27	16	62.79%	-	-
TeamLiquid	25	15	62.50%	-	-
Dreamtime	10	6	62.50%	-	-
mousesports	20	14	58.82%	-	-
SneakyNyxAssassins	10	7	58.82%	-	-
DK	14	10	58.33%	-	-
MVPPhoenix	12	9	57.14%	-	-
UnknownRadiantTeam	19	15	55.88%	-	-
TeameHug	6	5	54.55%	-	-
APETACO	6	5	54.55%	-	-
Virtuspro	11	10	52.38%	-	-
InvictusGaming	11	10	52.38%	-	-
Cloud9	13	13	50.00%	-	-
Titan	9	9	50.00%	-	-
UnionGaming	7	7	50.00%	-	-
CDECGaming	5	5	50.00%	-	-
HyperGloryTeam	5	5	50.00%	-	-
CISGame	10	11	47.62%	-	-
NvidiaArrowGamingAVF	14	16	46.67%	-	-
OrangeEsportsDota	5	6	45.45%	-	-
NatusVincere	9	11	45.00%	-	-
Revenge	4	5	44.44%	-	-
RexRegumQEON	4	5	44.44%	-	-
NewElement	4	5	44.44%	-	-
PowerRangers	4	5	44.44%	-	-
FirstDeparture	4	5	44.44%	-	-
xGamekz	4	5	44.44%	-	-
ShadowsofthePast	4	5	44.44%	-	-
ScytheSG	4	5	44.44%	-	-
UnknownDireTeam	11	16	40.74%	-	-
Alliance	6	9	40.00%	-	-
Fnatic	6	9	40.00%	-	-
TeamEmpire	6	9	40.00%	-	-
CNBHyperX	4	6	40.00%	-	-
NatusVincereUS	5	10	33.33%	-	-
AlternateTrasher	3	6	33.33%	-	-
Relaxyouaredoingfine	3	6	33.33%	-	-
ZephyrDota	3	6	33.33%	-	-
MeetYourMakersDota2	2	7	22.22%	-	-
OrendaUS	2	7	22.22%	-	-
NOEarthspirit	2	8	20.00%	-	-
AwareGaming	1	8	11.11%	-	-
ChuiNiuBi	1	8	11.11%	-	-
EXECRATION1	1	8	11.11%	-	-
IsurusGamingHyperX	1	9	10.00%	-	-
