"Item","# Purchases","Fastest (secs)","Slowest (secs)","Mean (secs)","Std Deviation","Winrate"
"Town Portal Scroll","28164","-38","4756","1118","636","47.24%"
"Observer Ward","10853","-88","4626","1192","759","49.89%"
"Sentry Ward","10662","-87","4541","1395","679","47.65%"
"Observer and Sentry Wards","10357","-88","4626","1405","692","48.77%"
"Clarity","6642","-89","4644","808","630","53.70%"
"Iron Branch","4866","-89","3704","609","514","50.78%"
"Smoke of Deceit","3629","-89","4399","1120","697","49.46%"
"Boots of Speed","3468","-89","4470","349","559","51.07%"
"Magic Stick","3026","-88","3225","375","299","50.46%"
"Magic Wand","2662","-88","3225","517","362","50.45%"
"Enchanted Mango","2426","-89","4047","559","473","50.95%"
"Circlet","2130","-89","4501","646","559","54.08%"
"Sage's Mask","2102","-76","3765","852","657","53.66%"
"Infused Raindrops","2100","180","3128","584","364","49.62%"
"Tome of Knowledge","2042","600","4398","1399","700","50.34%"
"Ring of Health","2031","165","4363","1514","688","57.21%"
"Wind Lace","1951","-85","3668","820","564","52.64%"
"Staff of Wizardry","1950","325","4596","1482","581","54.92%"
"Ring of Regen","1938","-81","3704","847","577","54.54%"
"Healing Salve","1903","-89","3888","527","874","46.35%"
"Ogre Axe","1792","434","4741","1532","586","53.96%"
"Gloves of Haste","1702","103","4068","725","516","50.06%"
"Blades of Attack","1627","66","3858","568","538","50.28%"
"Ring of Protection","1386","-86","3693","601","481","53.61%"
"Void Stone","1370","298","4364","1612","745","57.45%"
"Mithril Hammer","1350","414","4741","1592","562","54.44%"
"Belt of Strength","1314","98","4258","768","553","52.21%"
"Blink Dagger","1269","430","3427","1222","456","54.06%"
"Gauntlets of Strength","1244","-85","2806","555","387","54.34%"
"Band of Elvenskin","1154","46","3930","1078","430","52.60%"
"Power Treads","1037","183","4068","585","320","50.43%"
"Blade of Alacrity","975","433","4596","1342","604","55.59%"
"Tango","970","-89","2040","112","217","50.21%"
"Ultimate Orb","955","713","4162","1710","526","60.21%"
"Energy Booster","938","134","3944","1027","704","55.76%"
"Quelling Blade","937","-86","2098","229","310","51.44%"
"Chainmail","920","294","4501","1358","597","57.39%"
"Dust of Appearance","912","-85","3409","1351","615","48.68%"
