"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Boombacs","139","69","70","49.64%","2.40","6.17","13.88","282.96","350.33"
"ARMEL!","139","69","70","49.64%","8.63","4.17","8.63","598.76","590.53"
"FLYSOLO","134","68","66","50.75%","2.25","6.75","13.46","269.81","331.64"
"rApy-","113","59","54","52.21%","3.46","4.42","11.22","409.99","456.96"
"Gabbi","78","41","37","52.56%","8.09","3.56","8.53","549.73","557.63"
"AB1NG","34","18","16","52.94%","5.79","3.85","11.00","563.76","506.76"
"Bokerino","26","10","16","38.46%","5.81","5.85","13.88","410.58","482.42"
"Jeyo","26","10","16","38.46%","7.19","5.15","12.31","428.35","453.54"
"Mac","5","1","4","20.00%","5.40","4.00","8.60","465.80","488.60"
"Jacko","1","0","1","0.00%","0.00","6.00","3.00","421.00","447.00"
