"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"XaKoH","45","18","27","40.00%","3.04","4.76","11.49","363.27","375.38"
"Misha","36","17","19","47.22%","2.14","4.47","11.58","260.22","269.78"
"iLTW","34","16","18","47.06%","6.82","3.79","9.65","583.76","530.76"
"Chu","26","14","12","53.85%","3.58","5.62","11.58","328.42","348.88"
".Midori 丶no Ō","25","13","12","52.00%","7.36","3.68","10.40","560.44","492.40"
"667","10","3","7","30.00%","3.40","5.90","13.00","261.50","294.40"
"yoky-","10","3","7","30.00%","6.30","3.80","10.30","544.90","528.90"
"Øxn","9","1","8","11.11%","8.00","5.11","8.67","440.22","499.44"
"GGwpLanaya lft","9","1","8","11.11%","4.11","5.78","8.89","449.33","498.67"
"sQreen","9","1","8","11.11%","3.22","7.44","12.56","245.11","286.67"
"hNN)","9","1","8","11.11%","3.56","7.67","11.22","254.56","302.89"
"Chappie","8","5","3","62.50%","6.00","2.12","6.62","610.50","556.62"
"Mag","7","4","3","57.14%","3.71","4.86","18.43","407.00","451.29"
"MagicaL","7","4","3","57.14%","11.57","3.14","7.43","624.29","569.29"
"yol","7","4","3","57.14%","3.43","8.86","15.86","279.57","335.43"
"Shachlo","6","4","2","66.67%","3.67","4.83","9.00","362.17","435.83"
"Kage","6","4","2","66.67%","7.83","4.00","7.17","601.67","627.33"
"EcNart!","6","4","2","66.67%","2.00","3.67","12.33","296.83","364.33"
"1ls.","6","4","2","66.67%","3.67","4.67","12.33","249.00","295.50"
"Maden","6","4","2","66.67%","4.17","5.50","10.50","420.83","489.50"
"Fervian","4","2","2","50.00%","2.50","5.50","15.25","230.75","349.25"
"SoNNeikO","3","2","1","66.67%","3.67","4.33","20.00","293.00","345.33"
"iLTW","2","1","1","50.00%","7.00","5.50","8.50","476.50","462.50"
