"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"BuLba","316","176","140","55.70%","3.12","3.91","11.41","334.04","367.38"
"Resolut1on","242","157","85","64.88%","6.98","2.51","8.63","592.73","538.34"
"Saksa","212","140","72","66.04%","2.65","4.50","11.82","307.90","304.28"
"w33","208","136","72","65.38%","6.24","3.57","8.87","556.09","535.98"
"MiSeRy","208","136","72","65.38%","2.49","4.78","11.62","308.09","312.24"
"Aui_2000","176","102","74","57.95%","3.22","3.98","8.70","327.53","316.18"
"mason","157","85","72","54.14%","6.45","3.28","9.11","528.19","556.96"
"Yawar","142","84","58","59.15%","5.82","3.37","7.80","524.37","514.50"
"Moo","137","94","43","68.61%","3.66","3.79","10.45","419.28","417.23"
"Abed","132","70","62","53.03%","8.25","3.18","8.99","579.86","627.85"
"TC","121","68","53","56.20%","5.78","3.22","7.88","521.20","515.12"
"MoonMeander","119","68","51","57.14%","3.13","5.34","11.55","336.10","375.08"
"1437","97","58","39","59.79%","2.67","4.68","8.53","285.93","281.29"
"DuBu","84","44","40","52.38%","1.89","5.87","12.20","226.94","289.61"
"Biryu","79","44","35","55.70%","2.42","5.48","8.82","259.14","264.42"
"Forev","72","39","33","54.17%","4.07","4.21","11.60","381.26","436.60"
"MSS","58","31","27","53.45%","4.60","4.07","12.07","378.98","433.02"
"DeMoN","20","9","11","45.00%","2.10","5.95","11.90","250.45","317.60"
"USH","9","3","6","33.33%","6.89","4.78","8.00","523.56","528.33"
"qojqva","9","4","5","44.44%","5.11","3.89","7.44","506.67","549.44"
"Unknown","8","6","2","75.00%","8.12","1.88","6.62","573.62","508.12"
"Arteezy","6","2","4","33.33%","9.83","5.83","7.67","574.67","499.50"
"bOne7","5","2","3","40.00%","4.60","5.20","7.60","474.80","468.20"
"canceL^^","3","2","1","66.67%","8.00","4.00","11.00","521.67","531.67"
