"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"UnderShock","26","6","20","23.08%","6.50","6.31","7.54","487.92","530.62"
"Flow","20","5","15","25.00%","3.35","4.20","10.00","382.15","442.40"
"Nofear","17","5","12","29.41%","2.35","6.00","12.47","256.24","306.76"
"@LeBronDota","17","5","12","29.41%","2.35","6.59","12.71","228.82","307.00"
"Rajjix","13","3","10","23.08%","6.38","4.46","7.54","461.00","504.92"
"｡◕‿◕｡̿","9","1","8","11.11%","2.44","9.11","9.56","227.67","265.44"
"dark","9","1","8","11.11%","1.11","6.33","8.78","192.00","206.56"
"B7 next LeveL","6","0","6","0.00%","3.33","6.50","5.17","410.33","463.50"
"Charo","4","1","3","25.00%","3.50","4.00","11.75","343.75","358.75"
"Øxn","4","2","2","50.00%","7.00","3.00","8.50","474.00","553.50"
"B7 Next LeveL","3","1","2","33.33%","3.00","4.67","7.67","475.67","475.33"
"RAMZES666","2","0","2","0.00%","5.50","5.50","6.00","469.00","496.00"
