"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Sedoy","141","62","79","43.97%","6.18","4.21","9.23","510.62","518.26"
"Afoninje","98","47","51","47.96%","7.02","4.61","11.38","496.87","552.54"
"ArsZeeqq","94","45","49","47.87%","3.01","6.81","13.62","259.18","330.41"
"Shachlo","85","32","53","37.65%","3.36","4.71","9.87","368.51","396.34"
"KingR?!","67","34","33","50.75%","4.19","6.46","15.31","274.70","372.94"
"tmw","54","19","35","35.19%","5.59","5.43","7.72","501.72","489.87"
"VANSKOR","52","19","33","36.54%","1.92","7.19","10.73","250.23","254.67"
"RodjER","49","22","27","44.90%","3.02","6.55","12.06","286.84","325.47"
"Mag","43","24","19","55.81%","6.77","4.67","13.09","472.98","549.09"
"MeTTpuM","36","10","26","27.78%","1.69","6.94","8.58","242.78","250.50"
"Nikobaby","15","7","8","46.67%","7.73","4.07","6.40","554.13","587.13"
"Maden","13","5","8","38.46%","5.08","6.62","14.15","394.23","488.23"
"nongrata`","9","3","6","33.33%","6.56","7.11","11.67","456.78","518.33"
"SoNNeikO","2","0","2","0.00%","4.00","6.50","15.50","267.50","346.50"
"Dendi","2","1","1","50.00%","5.00","6.00","6.50","489.00","447.00"
