"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Fear","1046","628","418","60.04%","5.32","3.52","8.97","430.24","450.51"
"Universe","1044","661","383","63.31%","4.18","3.30","10.53","382.03","417.74"
"PPD","674","442","232","65.58%","2.30","4.12","9.24","259.99","297.05"
"Arteezy","673","440","233","65.38%","6.90","3.71","8.50","569.95","551.22"
"SumaiL","563","344","219","61.10%","8.07","4.13","9.19","562.83","561.81"
"zai","550","367","183","66.73%","3.26","4.68","11.29","321.55","357.24"
"Jeyo","417","230","187","55.16%","5.35","3.92","8.33","417.59","446.44"
"DeMoN","351","210","141","59.83%","4.80","4.15","9.08","364.69","420.47"
"Bdiz","297","173","124","58.25%","2.49","4.97","8.92","230.44","250.38"
"Cr1t-","223","138","85","61.88%","2.52","5.29","13.00","264.74","315.90"
"SexyBamboe","189","107","82","56.61%","3.69","5.35","8.68","338.79","355.75"
"Aui_2000","180","111","69","61.67%","3.58","3.47","8.58","356.23","372.01"
"Maelk","175","108","67","61.71%","2.85","4.31","9.87","301.78","320.50"
"mason","149","112","37","75.17%","5.01","2.94","7.96","504.13","499.56"
"MSS","120","57","63","47.50%","5.21","4.36","8.18","389.12","415.13"
"Fogged","119","56","63","47.06%","2.91","5.45","9.71","261.37","288.90"
"BuLba","91","52","39","57.14%","4.99","3.35","10.35","388.42","426.04"
"007","16","11","5","68.75%","6.06","3.75","10.31","401.75","447.50"
"PowerNet","14","8","6","57.14%","4.93","3.29","7.00","437.86","436.93"
"EternaLEnVy","10","6","4","60.00%","5.80","3.50","8.80","539.00","476.00"
"rtz","5","3","2","60.00%","5.00","4.40","9.20","484.00","521.40"
"PusHer-StrEet","4","1","3","25.00%","1.00","4.50","6.00","190.75","228.75"
"Binke","3","2","1","66.67%","3.33","3.33","6.33","405.67","388.33"
"Broodstar","3","3","0","100.00%","3.33","4.00","16.00","305.00","343.67"
"TimadoisGarbage","2","2","0","100.00%","5.00","6.00","12.50","437.00","418.00"
"Pajkatt","2","1","1","50.00%","0.50","3.00","4.00","303.50","358.50"
"The Piemaker","2","1","1","50.00%","6.50","3.00","8.00","585.00","591.00"
"dilatedmind","1","1","0","100.00%","0.00","5.00","5.00","195.00","277.00"
"Navy.March","1","1","0","100.00%","0.00","6.00","8.00","117.00","190.00"
"Sneyking","1","1","0","100.00%","5.00","5.00","4.00","409.00","332.00"
"wejustzik","1","1","0","100.00%","5.00","3.00","10.00","377.00","458.00"
"1437","1","0","1","0.00%","1.00","7.00","12.00","236.00","324.00"
"Solace","1","1","0","100.00%","8.00","4.00","10.00","420.00","364.00"
"inphinity","1","1","0","100.00%","2.00","1.00","4.00","204.00","176.00"
"Lacoste_","1","0","1","0.00%","3.00","8.00","5.00","243.00","234.00"
