"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Kim0","387","187","200","48.32%","2.64","6.39","11.36","275.72","303.91"
"Nando","233","105","128","45.06%","6.18","4.92","8.28","555.04","515.05"
"Abed","206","117","89","56.80%","7.60","3.65","8.74","577.16","565.48"
"Rr?","203","101","102","49.75%","3.00","5.42","11.29","323.07","360.17"
"Gabbi","183","91","92","49.73%","7.20","4.14","8.56","552.83","535.91"
"DJ","125","63","62","50.40%","3.98","5.26","11.24","393.54","414.77"
"TIMS","106","59","47","55.66%","2.65","5.16","12.35","295.43","327.47"
"James","100","43","57","43.00%","7.30","5.88","9.65","473.59","516.94"
"raging-_-potato","83","36","47","43.37%","4.92","7.30","10.94","449.42","533.36"
"Byb","65","35","30","53.85%","4.65","5.51","12.42","415.08","431.14"
"Joshua #5593","50","17","33","34.00%","2.12","5.48","11.12","293.48","311.74"
"rApy-","42","22","20","52.38%","2.55","4.79","11.00","325.24","334.38"
"Shanks","38","13","25","34.21%","6.47","6.05","9.79","474.71","475.03"
"Rr?","36","11","25","30.56%","3.03","6.72","9.06","294.69","296.61"
"343","23","16","7","69.57%","3.48","6.22","12.96","321.96","313.39"
"MightySavior","17","7","10","41.18%","7.29","3.94","7.59","523.71","485.47"
"WinterGoD-冬?","12","5","7","41.67%","2.00","6.25","13.33","286.83","336.08"
"Beho","10","1","9","10.00%","2.80","7.30","5.10","275.90","272.20"
"Unknown","8","3","5","37.50%","3.12","5.62","11.12","374.00","415.88"
"Risen","6","2","4","33.33%","1.67","8.67","10.67","327.33","327.83"
"Aebeng","2","1","1","50.00%","4.00","5.00","19.50","321.50","402.00"
