"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Accel","172","95","77","55.23%","2.41","5.34","12.49","290.15","331.72"
"Benjaz","122","66","56","54.10%","6.39","3.30","9.30","545.42","518.00"
"Kingteka","91","53","38","58.24%","5.23","4.71","11.76","429.35","468.08"
"StiNGer","58","30","28","51.72%","2.28","6.29","13.95","302.28","314.31"
"Kotarō.sr4ever","57","31","26","54.39%","6.21","4.70","8.51","542.04","550.26"
"830","54","29","25","53.70%","2.59","6.91","14.41","316.65","377.41"
"papita","54","29","25","53.70%","6.24","4.06","11.72","444.63","518.26"
"Matthew","53","29","24","54.72%","3.34","5.51","13.68","291.36","352.74"
"Timado","53","29","24","54.72%","7.85","3.79","8.40","526.08","569.38"
"Leostyle","38","19","19","50.00%","10.79","3.95","8.97","549.39","608.11"
"gantz","35","18","17","51.43%","8.66","5.23","9.31","606.54","554.83"
"Nakamura Azami","20","10","10","50.00%","6.75","5.20","8.70","550.10","584.60"
"Scofield","16","10","6","62.50%","4.44","6.88","16.75","324.44","408.50"
"Rudimental","14","4","10","28.57%","2.71","5.29","10.29","344.86","372.71"
"Greedy.Diana毡","13","7","6","53.85%","6.08","2.15","8.46","563.85","576.31"
"@WuDotA","13","7","6","53.85%","2.00","4.77","12.77","268.23","306.00"
"M-GOD","13","7","6","53.85%","4.31","4.23","9.23","396.46","448.54"
"Sword","6","2","4","33.33%","3.00","5.00","8.83","422.50","451.67"
"Pierrot","6","0","6","0.00%","2.17","7.50","9.00","237.17","249.50"
"CRISTIANO","2","0","2","0.00%","9.00","7.50","18.00","473.00","551.00"
