"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"影","218","111","107","50.92%","7.03","4.47","9.06","534.51","513.38"
"佞臣","210","109","101","51.90%","3.11","6.12","13.84","279.59","310.86"
"jdh","134","69","65","51.49%","2.69","5.07","11.46","289.81","299.71"
"qd","116","58","58","50.00%","6.94","4.66","8.07","553.79","535.44"
"Xi","114","58","56","50.88%","3.59","5.46","11.11","381.04","399.57"
"荧","84","42","42","50.00%","8.73","4.33","10.89","539.35","574.83"
"Rong","82","42","40","51.22%","3.60","6.77","14.26","284.79","340.80"
"dark","82","42","40","51.22%","4.79","5.43","13.18","424.66","479.84"
"Gt86","20","11","9","55.00%","7.30","3.60","8.45","467.95","448.60"
"kaidou","18","11","7","61.11%","2.89","4.56","10.83","337.11","360.39"
"111","8","2","6","25.00%","1.62","4.75","9.50","218.00","243.25"
"Ran","2","0","2","0.00%","4.00","6.50","5.00","380.00","415.00"
"极限","2","0","2","0.00%","2.50","7.00","4.50","261.50","270.50"
