"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"LESLÃO","41","19","22","46.34%","3.22","4.41","12.07","424.12","448.46"
"FuckinEh","41","19","22","46.34%","6.80","3.93","8.46","581.02","529.39"
"Bardo","41","19","22","46.34%","2.07","5.02","10.66","276.44","308.39"
"Thiolicor","30","18","12","60.00%","3.47","5.27","13.17","299.97","326.83"
"Sooths","26","11","15","42.31%","7.50","5.23","8.62","580.69","584.62"
"M-GOD","26","16","10","61.54%","7.38","4.38","8.92","537.77","598.23"
"Duster","10","7","3","70.00%","3.30","4.60","15.60","264.30","325.70"
"Kingrd","10","7","3","70.00%","3.80","4.00","15.30","312.70","391.70"
"tavo","10","7","3","70.00%","4.00","3.80","12.60","458.00","542.90"
"Ned","9","1","8","11.11%","1.67","7.00","9.44","242.22","305.00"
"hFn","9","6","3","66.67%","11.78","3.78","9.89","619.22","641.44"
"Unknown","2","0","2","0.00%","2.00","6.00","11.00","199.50","280.50"
