"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"ninjaboogie","279","170","109","60.93%","2.92","5.04","13.26","293.70","334.70"
"raging-_-potato","186","108","78","58.06%","8.33","4.22","9.53","611.44","579.15"
"MuShi","148","94","54","63.51%","7.95","3.70","9.75","587.53","603.01"
"Meracle♥L","131","76","55","58.02%","7.89","3.16","9.31","562.82","535.82"
"Julz","131","76","55","58.02%","3.30","4.94","13.10","328.23","351.27"
"Rr?","128","75","53","58.59%","3.26","4.62","13.12","378.76","422.98"
"iceiceice","78","55","23","70.51%","5.35","4.78","11.04","470.45","533.24"
"Jabz","78","55","23","70.51%","3.37","5.08","15.51","294.51","377.73"
"NaNa","78","55","23","70.51%","8.05","3.79","10.41","516.71","566.92"
"343","38","25","13","65.79%","2.87","4.16","15.63","279.24","373.11"
"ky xY `|","32","18","14","56.25%","3.19","4.50","13.19","372.41","440.69"
"Mag","27","17","10","62.96%","3.81","3.89","11.89","432.19","484.52"
"Eyyou","18","7","11","38.89%","2.50","6.00","13.33","272.11","368.11"
"ryOyr","14","7","7","50.00%","2.21","5.07","10.93","276.79","346.07"
".Midori 丶no Ō","14","7","7","50.00%","6.50","4.00","7.71","471.57","494.79"
"Wenn","11","4","7","36.36%","3.18","6.18","10.55","354.18","428.36"
"yAj","3","1","2","33.33%","7.67","4.67","9.67","372.00","440.33"
"Jacko","1","0","1","0.00%","8.00","6.00","17.00","616.00","502.00"
