"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Skiter.Oyasumi","51","19","32","37.25%","6.86","4.76","10.00","477.27","536.98"
"dnz","51","19","32","37.25%","3.37","7.39","14.10","267.80","345.33"
"Buugi","49","19","30","38.78%","3.96","5.88","12.43","387.90","439.02"
"nine","40","16","24","40.00%","8.12","4.67","10.03","502.93","548.55"
"rmN-","35","13","22","37.14%","3.31","6.26","13.63","308.40","379.40"
"JaBbZ-","11","3","8","27.27%","2.55","6.55","11.91","213.00","251.18"
"Blazemon","11","3","8","27.27%","8.09","5.27","8.27","502.91","523.27"
"Pablo","3","1","2","33.33%","4.00","3.67","12.33","281.33","318.33"
"Mikey","2","0","2","0.00%","4.50","4.50","11.50","396.00","480.50"
"okcya","2","2","0","100.00%","2.50","2.50","8.00","313.00","349.50"
