"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Kuku","253","148","105","58.50%","8.60","4.87","9.28","574.07","572.55"
"Sam H","253","148","105","58.50%","3.57","5.31","12.91","375.81","425.64"
"Raven","236","140","96","59.32%","7.97","3.00","9.91","588.67","552.19"
"TIMS","216","129","87","59.72%","2.81","5.77","14.50","294.17","375.15"
"ryOyr","130","79","51","60.77%","2.95","4.92","13.26","322.59","345.58"
"1437","100","57","43","57.00%","3.19","5.98","13.25","292.40","358.29"
"Eyyou","20","11","9","55.00%","2.05","7.10","12.90","262.50","302.75"
"DeMoN","20","11","9","55.00%","2.20","7.20","13.70","251.95","274.00"
"Teehee","17","8","9","47.06%","2.00","5.94","12.35","257.00","254.59"
"Cast","17","8","9","47.06%","1.82","4.53","12.12","239.47","242.35"
"Joshua #5593","3","1","2","33.33%","2.33","6.33","7.67","241.33","249.33"
