"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Iceberg","261","129","132","49.43%","8.46","4.82","9.00","551.00","541.95"
"Goblak","148","74","74","50.00%","2.66","5.25","8.77","289.64","291.82"
"ALWAYSWANNAFLY","133","66","67","49.62%","2.85","6.34","10.02","286.83","285.66"
"Fng","117","57","60","48.72%","3.26","6.80","14.95","289.87","350.44"
"DkPhobos","109","53","56","48.62%","4.54","3.93","12.87","420.21","486.05"
"RAMZES666","80","44","36","55.00%","5.55","3.89","8.74","516.67","508.18"
"AfterLife","80","44","36","55.00%","3.80","4.09","8.79","402.38","421.49"
"633","71","35","36","49.30%","7.32","3.85","10.13","504.69","513.20"
"VANSKOR","71","35","36","49.30%","2.23","5.96","14.35","260.87","329.11"
"Funn1k","68","30","38","44.12%","3.60","5.56","10.65","385.71","390.53"
"Illidan","53","22","31","41.51%","4.51","4.60","8.62","469.87","450.04"
"iLTW","46","22","24","47.83%","6.61","4.59","11.67","506.22","546.96"
"Biver","46","22","24","47.83%","2.91","5.11","15.33","276.33","349.70"
"Ghostik","15","8","7","53.33%","4.20","3.40","13.27","450.93","440.93"
"XBOCT","15","8","7","53.33%","7.40","5.13","10.67","527.33","518.07"
"UnderShock","4","2","2","50.00%","6.50","5.75","10.75","462.50","483.50"
"Steel-_-Borco","3","1","2","33.33%","1.67","7.00","8.33","219.33","254.00"
"tv/monza1337","3","1","2","33.33%","6.00","6.33","13.00","373.00","464.67"
"Mag","2","2","0","100.00%","6.00","3.00","17.00","503.00","627.50"
