"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"CeMaTheSlayeR","753","409","344","54.32%","2.98","5.10","11.38","280.11","311.72"
"Mag","542","302","240","55.72%","4.11","3.94","10.64","394.19","415.78"
"No[o]ne-","486","277","209","57.00%","7.27","3.97","9.97","520.18","524.46"
"Solo","414","242","172","58.45%","3.38","5.50","11.19","311.92","321.85"
"9pasha","369","225","144","60.98%","6.39","3.91","8.81","502.77","509.12"
"G","206","101","105","49.03%","8.10","4.17","8.79","579.13","584.27"
"fn","182","91","91","50.00%","7.60","3.06","8.68","602.50","560.95"
"ALOHADANCE","149","77","72","51.68%","7.49","4.03","9.17","557.35","579.70"
"AfterLife","148","75","73","50.68%","4.20","4.95","11.89","387.84","462.52"
"Silent","80","47","33","58.75%","2.86","6.11","14.03","300.38","351.31"
"Zayac","66","29","37","43.94%","2.77","8.06","12.73","248.42","330.44"
"Iceberg","63","29","34","46.03%","6.75","4.37","9.38","500.41","477.89"
"Fng","61","29","32","47.54%","1.90","5.75","12.41","266.20","274.07"
"SoNNeikO","56","25","31","44.64%","2.98","6.32","14.05","321.98","366.54"
"ArsZeeqq","56","28","28","50.00%","2.93","5.36","11.20","253.93","300.75"
"Ditya Ra","46","19","27","41.30%","6.59","4.76","10.26","513.07","484.59"
"Revy","22","12","10","54.55%","6.14","3.09","7.05","523.73","523.00"
"Nofear","20","10","10","50.00%","1.95","4.75","6.70","228.50","276.75"
"sQreen","17","9","8","52.94%","4.59","5.76","10.29","282.12","313.53"
"UnderShock","13","7","6","53.85%","4.00","4.85","8.23","350.77","375.15"
"Unknown","10","6","4","60.00%","8.20","3.60","8.80","531.00","574.20"
"KingR?!","5","1","4","20.00%","3.80","6.00","5.60","215.80","253.80"
"yoyo","5","0","5","0.00%","3.20","3.20","4.80","333.00","332.60"
"RAMZES666","3","1","2","33.33%","7.00","5.33","8.00","471.00","511.67"
"zai","3","1","2","33.33%","4.33","6.00","10.33","430.67","458.67"
"Unknown","3","0","3","0.00%","6.67","6.33","7.67","479.00","544.00"
"633","3","2","1","66.67%","5.33","3.67","16.67","643.33","549.33"
"M~GOD","3","1","2","33.33%","4.00","1.00","7.00","424.00","433.00"
"Sh4dowehhh","3","3","0","100.00%","4.33","3.33","5.67","463.00","515.00"
"蘑菇","3","1","2","33.33%","6.00","4.33","7.33","494.67","499.00"
"VANSKOR","2","2","0","100.00%","4.50","9.50","13.00","310.50","343.50"
"Vega.AfterLife","2","1","1","50.00%","7.50","10.00","12.00","368.50","471.00"
"Nexus","2","1","1","50.00%","4.00","7.00","6.00","296.00","311.50"
"SkyNeT","2","1","1","50.00%","5.50","0.50","5.50","387.50","391.00"
"goddam","1","0","1","0.00%","1.00","8.00","9.00","73.00","83.00"
"EcNart!","1","1","0","100.00%","8.00","8.00","14.00","292.00","372.00"
