"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Peanut Bruddah","152","82","70","53.95%","2.45","5.36","9.67","236.42","288.18"
"@FanofSoyeon","126","73","53","57.94%","2.97","5.53","9.35","301.54","355.70"
"Ř€ŁĬĈ","126","73","53","57.94%","7.15","3.97","8.73","549.10","571.65"
"≈Ω≈Ω≈","122","72","50","59.02%","7.29","4.01","7.77","559.52","567.51"
"ixmike88","50","23","27","46.00%","4.16","5.14","10.16","338.28","397.26"
"Tolera","45","29","16","64.44%","3.58","4.80","10.42","339.27","436.16"
"ima_sheep(sux)","31","21","10","67.74%","3.77","4.90","9.03","324.84","390.90"
"726","28","10","18","35.71%","3.82","4.61","9.07","388.18","445.64"
"iAnnihilate","20","9","11","45.00%","6.95","4.55","7.45","534.95","557.85"
"Mad","20","9","11","45.00%","2.80","5.50","11.70","252.40","306.90"
"@KvHDotA","19","6","13","31.58%","4.89","3.95","7.63","450.95","478.42"
"ifrit","6","0","6","0.00%","3.00","4.83","4.67","473.00","488.00"
"Unknown","6","0","6","0.00%","1.67","4.50","6.67","201.33","255.33"
"monkeys-forever","5","3","2","60.00%","5.80","6.00","10.80","489.60","558.40"
"whitebeard","2","0","2","0.00%","2.00","5.50","2.00","422.00","423.00"
"Madkingz","2","0","2","0.00%","1.00","5.50","2.50","285.00","361.00"
