"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Zfreek","771","410","361","53.18%","3.49","5.19","10.60","307.13","334.32"
"melonzz","771","410","361","53.18%","4.29","5.24","10.39","426.50","459.08"
"Limmp","449","243","206","54.12%","6.21","4.00","9.99","472.14","493.99"
"Chessie","304","169","135","55.59%","6.54","3.92","9.32","527.06","518.02"
"Moo","243","132","111","54.32%","5.80","3.99","10.21","464.68","485.81"
"Handsken","227","124","103","54.63%","2.96","5.36","10.12","280.33","291.91"
"MoonMeander","160","87","73","54.38%","5.75","4.75","9.86","413.76","447.48"
"Zyzzy","158","85","73","53.80%","5.70","4.01","7.21","515.61","515.59"
"canceL^^","84","45","39","53.57%","6.35","4.20","9.55","505.23","499.57"
"Fly","73","41","32","56.16%","3.56","4.85","9.49","319.63","356.58"
"monkeys-forever","72","40","32","55.56%","3.76","5.32","12.69","387.46","402.01"
"Riser","68","36","32","52.94%","3.04","4.25","11.54","302.38","358.82"
"ixmike88","68","45","23","66.18%","2.93","5.19","11.37","245.26","274.44"
"FLUFFNSTUFF","56","37","19","66.07%","3.98","3.70","11.18","288.25","328.75"
"Jeyo","56","37","19","66.07%","5.52","3.73","10.32","425.00","466.02"
"Unknown","56","37","19","66.07%","3.52","4.21","9.09","321.23","390.25"
"TC","56","37","19","66.07%","6.84","2.21","8.71","492.34","504.45"
"Feero","52","24","28","46.15%","7.23","4.25","7.73","500.63","556.67"
"DeMoN","49","23","26","46.94%","2.98","6.06","11.00","267.59","316.82"
"jk","40","21","19","52.50%","5.35","4.17","8.55","503.23","499.62"
"wayto","37","16","21","43.24%","2.59","3.59","6.86","271.95","282.43"
"MJW","33","15","18","45.45%","2.61","5.33","8.09","336.70","349.55"
"chill a bit","30","14","16","46.67%","2.20","5.90","8.80","246.43","284.50"
"747","28","16","12","57.14%","7.04","4.11","10.18","552.96","531.00"
"Squeei","25","13","12","52.00%","2.48","5.88","8.28","266.96","326.84"
"no","24","13","11","54.17%","2.50","4.42","10.00","241.50","297.42"
"^^DragonFist^^","20","11","9","55.00%","6.25","4.00","9.75","537.35","567.50"
"Zizou","18","9","9","50.00%","1.28","6.44","7.00","221.28","251.22"
"Biver","16","6","10","37.50%","4.75","5.81","8.56","358.44","417.69"
"MyNutz","15","8","7","53.33%","4.20","5.60","12.67","372.00","439.20"
"Eagle","13","8","5","61.54%","2.85","5.38","8.38","209.62","258.31"
"Pingvincek","13","6","7","46.15%","5.62","5.00","10.46","450.54","485.54"
"Fogged","7","2","5","28.57%","1.86","6.71","8.00","248.57","273.71"
"Wagamama","7","3","4","42.86%","4.86","3.57","6.71","498.86","560.86"
"Chessie","7","4","3","57.14%","7.14","4.14","9.29","558.86","521.86"
"iAnnihilate","6","4","2","66.67%","3.00","6.33","5.33","286.50","298.83"
"jipples","6","2","4","33.33%","2.17","6.83","9.17","213.33","261.00"
"Unknown","4","1","3","25.00%","3.75","4.50","8.00","377.00","361.50"
"gypsy","2","0","2","0.00%","1.00","7.50","5.50","308.50","285.50"
"ritsu","2","0","2","0.00%","1.50","4.00","4.00","493.00","526.50"
"bkid","2","0","2","0.00%","2.50","5.50","9.00","261.50","388.50"
"carson","2","0","2","0.00%","7.50","6.00","10.50","563.50","561.00"
"whitebeard","1","0","1","0.00%","4.00","9.00","7.00","227.00","315.00"
"Pandaego","1","0","1","0.00%","3.00","12.00","15.00","218.00","303.00"
"Enzoe","1","1","0","100.00%","2.00","3.00","18.00","429.00","459.00"
"hurensohn","1","0","1","0.00%","7.00","4.00","5.00","612.00","662.00"
"BlueBanana","1","0","1","0.00%","3.00","7.00","3.00","432.00","503.00"
