"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"super","468","248","220","52.99%","3.00","5.00","11.89","274.31","297.71"
"@dogf1ghts","467","248","219","53.10%","2.85","5.78","12.83","275.52","310.16"
"Paparazi","447","240","207","53.69%","6.92","3.84","8.49","585.37","557.13"
"InJuly","446","240","206","53.81%","3.24","4.48","12.96","385.27","413.95"
"Sakata","400","204","196","51.00%","6.95","4.61","8.24","521.80","518.23"
"Op","78","46","32","58.97%","5.91","3.95","9.59","495.81","481.22"
"qd","47","28","19","59.57%","7.47","3.21","7.64","568.51","566.30"
"Boboka.Rr","47","28","19","59.57%","3.26","4.70","11.30","271.30","285.57"
"yChen-","47","28","19","59.57%","6.17","3.53","10.02","495.17","505.96"
"Rong","47","28","19","59.57%","3.34","4.53","11.51","261.51","266.49"
"Xxs","47","28","19","59.57%","3.51","4.49","10.11","323.04","344.89"
"Flyby","22","7","15","31.82%","4.41","5.27","9.00","451.91","491.86"
"Srf","22","7","15","31.82%","3.59","5.82","10.73","368.14","432.23"
"Q","8","2","6","25.00%","1.12","5.38","9.75","244.62","276.62"
"BurNIng","8","2","6","25.00%","2.62","4.62","6.50","239.12","243.25"
"G","8","3","5","37.50%","3.00","6.25","14.88","349.12","392.12"
"ky xY `|","6","3","3","50.00%","3.67","5.50","14.17","435.33","470.83"
