"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Black^","383","218","165","56.92%","6.32","3.15","6.64","529.59","551.82"
"paS","345","200","145","57.97%","2.70","3.75","9.11","250.16","291.77"
"FATA-","343","203","140","59.18%","5.33","3.82","9.04","411.62","467.89"
"qojqva","276","164","112","59.42%","4.80","3.21","7.19","460.95","482.37"
"syndereN","230","135","95","58.70%","2.39","5.09","8.37","253.16","276.00"
"Maybe Next Time","122","53","69","43.44%","3.29","6.07","13.44","285.19","362.29"
"Madara","122","53","69","43.44%","6.83","4.61","10.60","527.79","568.44"
"ThuG","121","53","68","43.80%","8.48","4.59","9.31","531.95","591.83"
"SsaSpartan","120","51","69","42.50%","3.08","7.61","13.57","266.90","317.71"
"Skylark","120","52","68","43.33%","4.29","5.86","12.78","390.73","452.32"
"Alex-","107","56","51","52.34%","2.00","4.74","8.93","223.76","247.24"
"SexyBamboe","101","50","51","49.50%","4.49","5.55","8.64","345.91","398.11"
"SingSing","89","42","47","47.19%","4.40","4.66","9.54","340.57","399.74"
"Cr1t-","78","30","48","38.46%","3.22","5.28","8.12","284.59","309.13"
"1437","75","32","43","42.67%","2.28","7.09","10.01","236.32","276.48"
"MSS","69","39","30","56.52%","5.94","3.42","9.23","425.20","427.68"
"Ryze","69","30","39","43.48%","2.81","4.14","6.46","298.17","306.46"
"MiSeRy","69","39","30","56.52%","3.12","5.23","11.10","298.94","319.29"
"Pajkatt","69","39","30","56.52%","7.26","3.14","9.75","498.77","476.04"
"ComeWithMe","63","32","31","50.79%","4.60","6.11","10.30","340.92","370.86"
"KuroKy","61","29","32","47.54%","4.80","5.84","9.30","308.52","374.36"
"Ace","57","25","32","43.86%","4.74","4.96","7.04","394.82","432.81"
"unicornxoxo","43","14","29","32.56%","4.42","3.81","5.30","435.14","437.56"
"Link","41","17","24","41.46%","4.32","4.29","7.83","459.37","463.95"
"For.More","32","12","20","37.50%","5.03","3.31","6.66","413.62","460.34"
"pieliedie","22","13","9","59.09%","3.64","5.95","10.23","286.18","274.36"
"BuLba","21","12","9","57.14%","4.76","4.95","12.14","359.71","373.48"
"wayto","21","12","9","57.14%","3.10","4.33","10.10","294.86","322.81"
"neNo-","14","11","3","78.57%","3.43","5.14","9.14","225.71","267.71"
"rmN-","11","7","4","63.64%","3.55","3.00","8.36","315.64","348.00"
"Zizou","10","6","4","60.00%","2.10","4.20","6.50","231.40","238.20"
"bOne7","8","3","5","37.50%","4.50","6.62","11.38","339.38","393.25"
"XoYnoZnU","7","3","4","42.86%","1.71","4.86","8.71","223.00","249.00"
"Atze","6","3","3","50.00%","2.00","6.17","10.33","197.00","259.33"
"Unknown","5","2","3","40.00%","4.60","3.40","7.20","510.40","494.00"
"Mini","5","2","3","40.00%","3.40","6.40","9.00","341.80","408.60"
"7Mad-","5","3","2","60.00%","3.40","5.60","11.60","366.60","412.60"
"DA","4","3","1","75.00%","11.50","4.00","10.00","570.00","562.50"
"MaNia","4","3","1","75.00%","3.50","4.75","11.75","249.25","256.50"
"Døden","4","3","1","75.00%","3.50","4.25","12.50","311.50","369.00"
"Tzar","4","3","1","75.00%","5.00","6.25","7.00","269.50","299.75"
"ltt","3","0","3","0.00%","1.00","7.33","6.33","208.00","219.33"
"Skyzoe","2","1","1","50.00%","4.00","3.50","8.50","435.00","562.00"
"Baseballs","2","0","2","0.00%","2.50","6.50","5.50","299.50","288.50"
"HeStEJoE-RoTTeN","2","1","1","50.00%","4.00","8.50","9.00","446.00","431.00"
"Unknown","2","1","1","50.00%","9.50","6.50","10.50","373.50","451.00"
"","2","2","0","100.00%","3.00","6.00","17.00","275.00","334.00"
"PowerNet","2","0","2","0.00%","4.50","5.50","4.50","290.00","361.00"
"TC","2","0","2","0.00%","9.50","8.50","12.50","449.00","443.00"
"Angel","2","0","2","0.00%","4.50","6.00","3.50","374.50","369.00"
"CalculuS","2","2","0","100.00%","4.00","5.00","13.00","302.00","352.00"
"Scandal","2","0","2","0.00%","2.50","8.00","9.00","274.50","400.00"
"Unknown","1","0","1","0.00%","0.00","12.00","6.00","116.00","100.00"
"Unknown","1","0","1","0.00%","3.00","7.00","2.00","220.00","241.00"
"Sunshine Reggae","1","0","1","0.00%","1.00","9.00","6.00","172.00","169.00"
"Kensu","1","1","0","100.00%","6.00","12.00","15.00","237.00","340.00"
"uta^_-","1","0","1","0.00%","4.00","8.00","3.00","207.00","177.00"
"@LeBronDota","1","0","1","0.00%","1.00","5.00","9.00","176.00","130.00"
"Fire","1","0","1","0.00%","3.00","3.00","4.00","376.00","361.00"
"Puppey","1","0","1","0.00%","6.00","5.00","9.00","352.00","437.00"
"Bli5teR","1","0","1","0.00%","1.00","3.00","1.00","273.00","322.00"
"JerAx","1","0","1","0.00%","3.00","6.00","14.00","187.00","275.00"
"Balsam","1","0","1","0.00%","2.00","9.00","5.00","384.00","331.00"
