Team	Wins	Losses	Win %	Avg Elo Gain	Total Elo Gain
TeamNP	9	1	90.00%	-	-
TeamLiquid	27	8	77.14%	-	-
LGDForeverYoung	29	11	72.50%	-	-
LGDGAMING	28	13	68.29%	-	-
PlanetDog	14	7	66.67%	-	-
TeamFreedom	12	6	66.67%	-	-
MidasClubElite	9	5	64.29%	-	-
Newbee	17	10	62.96%	-	-
TeamEmpire	23	14	62.16%	-	-
TeamSpirit	11	7	61.11%	-	-
SGesportsteam	11	7	61.11%	-	-
TeamSingularity	9	6	60.00%	-	-
TeamSecret	17	12	58.62%	-	-
mousesports	11	8	57.89%	-	-
TNCProTeam	16	12	57.14%	-	-
OG	12	9	57.14%	-	-
M19	8	6	57.14%	-	-
Virtuspro	13	10	56.52%	-	-
Infamous	18	14	56.25%	-	-
ClutchGamers	9	7	56.25%	-	-
VegaSquadron	9	7	56.25%	-	-
NatusVincere	5	4	55.56%	-	-
EvilGeniuses	11	9	55.00%	-	-
InvictusGaming	13	11	54.17%	-	-
iGVitality	14	12	53.85%	-	-
DanishBears	9	8	52.94%	-	-
DigitalChaos	22	21	51.16%	-	-
compLexityGaming	9	9	50.00%	-	-
MineskiYDB	7	7	50.00%	-	-
w33haearthspirit	7	7	50.00%	-	-
Faceless	5	5	50.00%	-	-
GambitEsports	4	4	50.00%	-	-
UnknownTeam	4	4	50.00%	-	-
KEENGAMING	7	8	46.67%	-	-
WheelWhreckWhileWhistling	6	7	46.15%	-	-
CDECGaming	4	5	44.44%	-	-
EHOME	4	5	44.44%	-	-
Fnatic	12	16	42.86%	-	-
ViciGaming	6	8	42.86%	-	-
EliteWolves	3	4	42.86%	-	-
MADKINGS	5	7	41.67%	-	-
Execration	14	20	41.18%	-	-
GeekFam	3	5	37.50%	-	-
Guess	3	5	37.50%	-	-
Cloud9	6	11	35.29%	-	-
4protectfive	3	6	33.33%	-	-
Alliance	3	6	33.33%	-	-
Effect	3	6	33.33%	-	-
PENTASports	3	6	33.33%	-	-
STARSeSports	3	6	33.33%	-	-
TeamRed	3	6	33.33%	-	-
FTDa	3	6	33.33%	-	-
TeamVGJ	3	6	33.33%	-	-
TEAMMAX	3	6	33.33%	-	-
UnionGamingBolivia	2	5	28.57%	-	-
HappyFeet	2	6	25.00%	-	-
Moogle	2	6	25.00%	-	-
ANIMEPROBOKSERA	2	6	25.00%	-	-
Crescendo	2	7	22.22%	-	-
anthrax	1	7	12.50%	-	-
DoubleDimension	1	8	11.11%	-	-
Comanche	1	8	11.11%	-	-
CoolBeans	1	8	11.11%	-	-
Starboyz	1	8	11.11%	-	-
OverPower	1	8	11.11%	-	-
HellRaisers	1	15	6.25%	-	-
Skatemasters	0	7	0.00%	-	-
ColombiaDotA	0	4	0.00%	-	-
