"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Loda","1299","772","527","59.43%","6.35","3.36","8.72","537.31","516.14"
"Akke","1171","710","461","60.63%","2.98","4.27","9.12","263.70","280.28"
"AdmiralBulldog","987","610","377","61.80%","4.51","3.83","9.73","430.32","438.24"
"s4","888","562","326","63.29%","5.80","4.24","9.82","431.99","477.03"
"EGM","857","534","323","62.31%","2.92","4.88","10.53","278.40","314.40"
"Pajkatt","170","93","77","54.71%","8.68","4.12","8.07","508.72","533.14"
"Handsken","156","75","81","48.08%","2.81","5.44","12.58","267.49","303.12"
"jonassomfan","156","74","82","47.44%","4.33","4.88","10.96","407.71","431.22"
"Limmp","153","73","80","47.71%","7.17","3.29","9.61","580.65","540.36"
"MyNutz","151","74","77","49.01%","3.79","6.13","10.11","296.66","323.89"
"7Mad-","138","78","60","56.52%","2.91","5.26","9.59","283.20","319.60"
"Niqua","103","61","42","59.22%","4.04","5.33","10.41","341.94","387.00"
"MiSeRy","74","38","36","51.35%","3.27","5.68","12.66","274.53","326.97"
"EternaLEnVy","73","43","30","58.90%","1.99","4.84","10.70","218.60","256.19"
"Unknown","51","34","17","66.67%","5.73","3.49","8.25","472.31","502.51"
"Chessie","40","22","18","55.00%","6.83","4.53","10.97","416.23","470.23"
"H4nn1","30","8","22","26.67%","6.10","4.80","9.30","394.47","456.17"
"Aghanim","29","15","14","51.72%","5.31","4.66","9.69","377.76","428.28"
"Unknown","27","22","5","81.48%","6.19","4.07","11.59","403.48","481.22"
"Ace","21","6","15","28.57%","3.90","6.19","10.48","329.38","388.19"
"EGM","20","14","6","70.00%","2.95","4.50","9.85","279.45","296.95"
"smulgullig","16","12","4","75.00%","3.38","4.19","11.06","288.69","317.56"
"Unknown","13","6","7","46.15%","3.85","4.46","7.46","285.08","287.46"
"Pablo","13","5","8","38.46%","3.08","6.15","10.38","246.54","285.62"
"Unknown","12","8","4","66.67%","3.00","5.17","10.75","246.08","306.67"
"Unknown","10","7","3","70.00%","2.70","3.60","9.10","291.40","285.50"
"Unknown","10","5","5","50.00%","2.10","6.10","12.10","238.30","263.00"
"Era","9","3","6","33.33%","4.89","4.67","8.22","464.56","475.89"
"Unknown","7","6","1","85.71%","7.14","3.29","7.86","551.43","508.29"
"Twisted","6","6","0","100.00%","3.83","5.17","13.17","251.17","308.50"
"ikZu","5","3","2","60.00%","2.60","3.60","7.60","314.20","318.20"
"Unknown","3","2","1","66.67%","6.00","3.67","11.00","331.67","347.00"
"Unknown","3","1","2","33.33%","5.00","8.00","9.00","333.33","442.00"
"Black^","3","1","2","33.33%","3.67","1.67","5.67","502.33","497.00"
"Miracle-","3","2","1","66.67%","4.00","9.00","6.67","251.33","293.33"
"Unknown","3","2","1","66.67%","8.67","5.33","15.67","440.33","483.00"
"Key","3","1","2","33.33%","3.33","6.00","12.00","231.00","257.33"
"QuiX-","2","1","1","50.00%","2.50","3.00","7.00","358.50","395.50"
"Balsam","2","2","0","100.00%","8.50","5.00","6.50","419.00","440.50"
"DR_ALI","2","1","1","50.00%","6.50","5.00","19.00","349.00","458.00"
"Unknown","2","2","0","100.00%","8.00","4.00","14.50","521.50","532.50"
"DA","2","0","2","0.00%","6.50","5.50","9.50","413.50","441.50"
"Unknown","1","0","1","0.00%","2.00","13.00","13.00","168.00","188.00"
"syndereN","1","1","0","100.00%","7.00","5.00","27.00","314.00","409.00"
