"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Guardian","538","304","234","56.51%","3.20","4.46","11.01","267.08","292.60"
"Q","529","300","229","56.71%","3.09","4.78","10.75","269.67","290.85"
"Agressif","419","241","178","57.52%","6.43","3.65","9.00","488.09","498.07"
"June","233","122","111","52.36%","3.20","5.17","11.65","296.60","332.79"
"June","233","122","111","52.36%","3.94","4.95","11.61","402.32","436.07"
"demons","233","122","111","52.36%","2.95","5.45","11.72","273.76","300.52"
"Flyby","233","122","111","52.36%","5.76","3.80","8.59","528.68","513.34"
"Xz","230","129","101","56.09%","3.65","4.05","10.33","361.03","388.43"
"Shiki","228","127","101","55.70%","6.45","3.79","8.67","472.07","492.31"
"Maybe","189","112","77","59.26%","7.97","3.68","9.01","535.72","525.83"
"Feb","185","103","82","55.68%","6.29","4.39","8.79","527.09","533.64"
"Liekkas","140","82","58","58.57%","4.32","4.43","10.74","376.39","408.65"
"Yao","122","65","57","53.28%","3.57","4.65","12.18","395.25","402.33"
"Super","122","65","57","53.28%","6.60","3.91","10.58","546.63","532.19"
"Rabbit","122","65","57","53.28%","6.59","3.78","9.48","520.38","511.97"
"mikasa","49","30","19","61.22%","6.43","4.27","8.63","515.10","540.61"
"Inflame","49","19","30","38.78%","6.37","5.06","6.73","508.55","523.76"
"qwer","12","6","6","50.00%","2.17","4.42","7.50","238.75","245.25"
"XuAn","11","2","9","18.18%","1.73","5.09","8.00","215.27","248.18"
"ISI","11","2","9","18.18%","2.27","4.73","6.82","419.73","470.55"
"Unknown","11","2","9","18.18%","2.64","4.27","7.82","328.00","375.73"
"Wh1te","8","1","7","12.50%","3.12","5.25","9.38","257.38","332.00"
"Dec","4","1","3","25.00%","9.00","4.50","4.75","565.25","558.25"
"QQQ","3","2","1","66.67%","6.67","5.67","16.33","315.67","326.67"
"Unknown","3","0","3","0.00%","7.33","6.33","3.33","502.67","575.33"
"LW","3","1","2","33.33%","2.67","4.33","4.00","247.67","251.67"
"stms.VPGAM","3","1","2","33.33%","5.00","4.33","2.33","510.33","519.67"
"Zy","2","2","0","100.00%","4.50","0.50","10.50","468.00","494.50"
"JotM","1","1","0","100.00%","5.00","6.00","13.00","252.00","323.00"
"633","1","1","0","100.00%","8.00","2.00","15.00","578.00","604.00"
"yol","1","1","0","100.00%","3.00","6.00","12.00","238.00","380.00"
"G","1","1","0","100.00%","14.00","8.00","12.00","645.00","681.00"
"Sedoy","1","1","0","100.00%","5.00","3.00","15.00","395.00","511.00"
