"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"EternaLEnVy","525","298","227","56.76%","6.36","3.88","7.78","536.73","519.67"
"bOne7","482","278","204","57.68%","4.76","4.84","9.26","376.07","402.44"
"pieliedie","375","210","165","56.00%","2.75","5.47","9.87","265.96","304.98"
"Aui_2000","372","209","163","56.18%","3.25","3.98","8.51","311.93","327.90"
"FATA-","331","190","141","57.40%","6.46","4.61","9.79","482.34","522.47"
"SingSing","181","101","80","55.80%","6.12","3.35","8.29","463.17","477.38"
"n0tail","150","88","62","58.67%","3.13","6.02","10.73","287.91","318.87"
"MiSeRy","146","85","61","58.22%","4.11","4.98","9.76","289.14","321.92"
"MSS","87","47","40","54.02%","4.11","4.18","10.62","359.56","368.30"
"ritsu","71","42","29","59.15%","6.92","3.03","7.66","599.99","578.32"
"SVG","71","42","29","59.15%","2.76","4.80","9.51","284.14","293.85"
"1437","71","42","29","59.15%","2.68","5.46","8.62","285.21","313.62"
"Brax","67","40","27","59.70%","6.00","4.25","8.55","496.81","506.07"
"Mag","11","6","5","54.55%","3.82","4.55","7.09","314.45","388.27"
"DeMoN","11","6","5","54.55%","3.91","4.55","8.91","400.27","404.64"
"Free","6","3","3","50.00%","5.83","5.00","10.67","443.50","473.50"
"Ar1se-","5","3","2","60.00%","5.60","4.00","8.60","398.60","453.20"
"Fly","3","2","1","66.67%","1.67","3.00","11.33","308.33","312.00"
"Unknown","3","2","1","66.67%","4.00","9.00","11.00","256.00","318.33"
"mason","3","1","2","33.33%","9.00","3.67","9.00","535.67","532.67"
"Fogged","2","1","1","50.00%","4.00","4.50","10.00","263.00","309.50"
"paS","2","0","2","0.00%","0.50","4.50","2.50","176.00","191.50"
"AdmiralBulldog","1","1","0","100.00%","8.00","10.00","15.00","438.00","589.00"
"MJW","1","1","0","100.00%","4.00","6.00","22.00","487.00","600.00"
"Sneyking","1","0","1","0.00%","4.00","6.00","4.00","449.00","421.00"
"ixmike88","1","1","0","100.00%","1.00","2.00","8.00","439.00","415.00"
"MJW","1","1","0","100.00%","8.00","4.00","19.00","418.00","386.00"
