"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"old LaNm","644","375","269","58.23%","3.39","4.52","11.23","308.93","334.25"
"old chicken","518","296","222","57.14%","6.48","4.43","9.36","486.98","488.44"
"old eLeVeN","403","236","167","58.56%","4.07","5.35","10.62","401.78","423.19"
"CTY","262","155","107","59.16%","8.67","3.70","8.36","584.31","594.73"
"END","174","94","80","54.02%","7.05","3.68","7.88","525.80","530.27"
"ddc","170","94","76","55.29%","2.48","4.25","9.26","247.26","282.78"
"Fenrir","160","99","61","61.88%","3.01","4.69","12.61","274.80","274.07"
"Guardian","159","80","79","50.31%","2.56","4.96","12.09","278.53","293.50"
"iceiceice","156","95","61","60.90%","5.37","3.82","10.72","484.79","437.29"
"rOtk","140","74","66","52.86%","2.90","5.68","10.32","346.15","378.06"
"Sylar","135","73","62","54.07%","6.47","3.73","7.88","530.59","512.22"
"kaka","123","77","46","62.60%","2.73","4.81","11.65","286.14","301.59"
"Inflame","87","42","45","48.28%","5.51","5.07","8.80","426.74","458.67"
"Guvara","51","32","19","62.75%","4.08","4.73","13.10","365.25","442.10"
"jdh","51","32","19","62.75%","2.59","5.29","14.25","268.47","319.41"
"MuShi","36","22","14","61.11%","5.69","3.89","8.31","475.36","504.56"
"Ohaiyo","36","22","14","61.11%","4.08","4.19","10.72","387.28","432.00"
"QQQ","35","20","15","57.14%","3.06","5.06","9.09","263.06","306.23"
"Kingj","35","20","15","57.14%","3.23","3.91","9.83","313.51","350.54"
"MMY!","35","20","15","57.14%","4.29","4.06","11.09","289.80","368.06"
"完美猫","35","20","15","57.14%","4.43","3.80","9.49","317.46","380.74"
"y`Maxine","34","12","22","35.29%","3.41","6.03","12.50","263.68","323.03"
"Faith_bian","34","12","22","35.29%","3.68","5.06","10.94","378.59","432.62"
"大宝","29","16","13","55.17%","9.52","3.76","9.07","543.34","547.41"
"hym","25","8","17","32.00%","3.40","5.40","12.72","277.68","338.84"
"GIVENCHY.paris","18","12","6","66.67%","9.06","3.00","9.78","574.89","539.94"
"BooM","18","8","10","44.44%","8.17","3.83","9.72","542.22","512.39"
"H2O","15","3","12","20.00%","4.47","4.53","7.00","421.73","400.27"
"Xi","11","1","10","9.09%","3.09","6.18","9.18","346.82","355.64"
"HY","8","2","6","25.00%","2.50","5.50","7.12","211.75","259.75"
"ky xY `|","2","2","0","100.00%","7.50","1.50","9.00","708.50","770.50"
"EHOME.H20","2","2","0","100.00%","10.00","4.00","8.50","704.00","702.50"
"JoHnNy","2","2","0","100.00%","3.50","3.50","10.50","322.50","297.00"
"Kecik Imba","2","2","0","100.00%","7.00","3.00","11.50","593.00","647.50"
