"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"H4nn1","703","380","323","54.05%","5.44","3.23","8.69","412.62","459.39"
"Trixi","697","386","311","55.38%","4.32","4.30","8.63","411.79","434.23"
"Fly","633","355","278","56.08%","2.51","4.18","9.35","260.15","281.46"
"Era","600","341","259","56.83%","7.05","3.18","8.13","497.48","494.13"
"n0tail","595","334","261","56.13%","3.01","4.90","10.21","262.31","299.30"
"Ohaiyo","480","280","200","58.33%","3.97","4.75","12.22","402.77","427.99"
"DJ","393","241","152","61.32%","4.15","4.62","12.13","335.09","362.19"
"MuShi","308","175","133","56.82%","6.34","4.08","8.53","552.71","532.38"
"MidOne","207","141","66","68.12%","7.86","4.00","10.31","554.28","533.46"
"Net","175","124","51","70.86%","3.99","4.26","10.84","373.46","377.49"
"343","168","116","52","69.05%","2.77","5.19","12.84","278.40","277.66"
"Febby","83","36","47","43.37%","3.36","6.40","12.64","281.67","338.77"
"QO","67","33","34","49.25%","8.40","5.69","9.79","537.96","555.94"
"Black^","58","38","20","65.52%","7.17","3.00","7.59","583.55","558.74"
"pieliedie","50","26","24","52.00%","2.54","5.30","12.18","248.88","308.60"
"EternaLEnVy","50","26","24","52.00%","5.98","4.32","9.22","498.38","526.64"
"Buugi","48","25","23","52.08%","4.65","4.85","10.10","365.67","417.79"
"DeMoN","47","24","23","51.06%","2.57","5.40","10.17","306.91","290.51"
"ComeWithMe","46","18","28","39.13%","3.35","6.63","9.76","318.39","354.39"
"MATUMBAMAN","44","23","21","52.27%","6.98","5.11","8.68","469.27","500.64"
"Xcalibur","40","18","22","45.00%","6.70","6.50","7.08","537.98","542.70"
"Xcalibur","38","17","21","44.74%","7.66","3.97","8.24","552.13","579.34"
"Eyyou","36","19","17","52.78%","2.31","5.39","13.06","294.08","298.53"
"Ah Jit","36","16","20","44.44%","6.19","3.69","9.67","450.78","475.50"
"Raven","36","19","17","52.78%","7.56","2.58","8.03","525.19","460.11"
"Ar1se-","33","10","23","30.30%","5.97","5.36","8.76","398.24","482.97"
"ADTR #1301","33","15","18","45.45%","4.27","5.73","11.58","362.12","376.24"
"Ace","31","10","21","32.26%","4.58","6.39","9.48","348.94","396.13"
"Meracle♥L","31","17","14","54.84%","7.32","4.13","10.13","493.81","499.52"
"Ryze","29","10","19","34.48%","2.97","5.76","9.31","229.21","272.93"
"ky xY `|","28","10","18","35.71%","5.39","5.04","7.57","459.25","470.79"
"JoHnNy","28","10","18","35.71%","2.32","5.54","9.04","243.11","239.11"
"Kecik Imba","28","10","18","35.71%","2.61","6.29","8.82","263.00","270.32"
"paS","20","12","8","60.00%","3.05","5.90","10.50","282.25","294.90"
"syndereN","16","10","6","62.50%","3.62","5.12","10.19","269.06","307.50"
"謎夢- `♥vt","13","3","10","23.08%","6.54","4.69","8.69","519.54","502.69"
"Abed","12","9","3","75.00%","10.42","2.83","10.75","631.25","637.83"
"DNA-Doomix","12","5","7","41.67%","1.92","3.17","7.50","210.42","255.75"
"Aui_2000","11","5","6","45.45%","4.45","4.09","6.82","470.91","438.64"
"Unknown","11","5","6","45.45%","2.73","4.55","7.73","267.00","288.73"
"Unknown","11","5","6","45.45%","3.00","3.73","7.27","233.45","239.18"
"Cr1t-","10","3","7","30.00%","2.70","6.20","9.20","261.30","331.20"
"Unknown","9","5","4","55.56%","3.11","4.11","9.67","255.33","275.22"
"Unknown","8","3","5","37.50%","4.50","5.00","8.38","287.50","355.25"
"Rexi","6","2","4","33.33%","4.83","4.83","8.83","259.17","332.00"
"Unknown","6","3","3","50.00%","2.67","5.33","10.17","196.17","258.00"
"Unknown","5","4","1","80.00%","3.00","6.60","9.60","245.40","281.80"
"Unknown","4","2","2","50.00%","1.00","3.75","8.25","191.25","215.75"
"YamateH","3","0","3","0.00%","2.00","6.67","6.67","276.67","346.33"
"inYourdreaM","3","0","3","0.00%","3.67","6.67","4.33","475.33","368.33"
"odi","3","2","1","66.67%","2.33","6.33","11.33","225.00","247.33"
"Fire","2","0","2","0.00%","1.50","5.50","4.00","280.50","342.00"
"Key","2","0","2","0.00%","1.50","6.00","13.00","256.00","350.00"
"JerAx","2","2","0","100.00%","9.50","7.50","15.50","359.50","540.00"
"Notah","2","0","2","0.00%","1.50","7.50","5.50","150.50","198.00"
"vaalix","2","2","0","100.00%","11.50","5.00","10.50","519.50","605.00"
"Funn1k","1","0","1","0.00%","0.00","4.00","4.00","294.00","285.00"
"Mitch--","1","0","1","0.00%","5.00","3.00","2.00","541.00","527.00"
"CalculuS","1","0","1","0.00%","2.00","8.00","14.00","308.00","353.00"
"neNo-","1","0","1","0.00%","1.00","3.00","0.00","139.00","115.00"
"Unknown","1","0","1","0.00%","0.00","4.00","2.00","171.00","189.00"
"Buktop","1","0","1","0.00%","0.00","3.00","3.00","133.00","185.00"
"MiSeRy","1","0","1","0.00%","1.00","6.00","7.00","187.00","223.00"
"KuroKy","1","0","1","0.00%","4.00","7.00","3.00","251.00","226.00"
