"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Ferrari_430","1000","597","403","59.70%","6.24","3.21","8.72","473.87","489.05"
"ChuaN","690","408","282","59.13%","2.94","3.89","9.64","269.49","293.76"
"Faith","622","387","235","62.22%","2.83","4.36","9.44","263.26","282.09"
"Xi","596","351","245","58.89%","4.26","3.89","8.84","411.11","423.82"
"BurNIng","521","329","192","63.15%","6.61","3.08","8.92","551.30","541.48"
"Boboka.Rr","513","309","204","60.23%","3.16","5.52","12.62","282.99","330.00"
"Xxs","513","309","204","60.23%","3.94","4.16","11.74","392.98","431.26"
"OB.YYF","444","279","165","62.84%","4.02","3.32","9.27","393.88","410.09"
"Q","364","225","139","61.81%","2.71","5.12","13.23","290.58","344.78"
"Op","364","225","139","61.81%","6.50","4.05","9.90","551.17","555.96"
"chisbug","165","87","78","52.73%","3.10","4.98","9.47","240.99","271.00"
"OB.Zhou","158","92","66","58.23%","5.16","3.18","8.32","487.46","492.02"
"June","152","80","72","52.63%","4.97","4.26","8.90","396.70","433.78"
"qd","149","84","65","56.38%","7.21","3.53","8.75","567.70","546.91"
"Rong","149","84","65","56.38%","3.44","5.78","11.40","279.40","285.27"
"Hao","124","85","39","68.55%","5.87","2.92","8.06","537.22","508.45"
"banana","119","81","38","68.07%","2.77","3.67","9.53","278.76","286.13"
"super","92","51","41","55.43%","2.50","4.20","7.78","249.64","260.08"
"Rabbit","87","49","38","56.32%","6.83","4.09","8.21","516.72","496.00"
"xdd","41","23","18","56.10%","3.66","5.95","10.49","280.41","300.39"
"END","35","15","20","42.86%","7.34","4.09","10.97","514.14","563.80"
"CuoJue","12","8","4","66.67%","3.75","3.00","10.33","305.42","311.33"
"ana","11","7","4","63.64%","8.27","4.82","11.09","640.73","632.09"
"ana","9","4","5","44.44%","4.11","5.00","9.22","570.67","537.22"
"Kingj","8","3","5","37.50%","2.25","4.50","6.50","232.62","222.00"
"Paparazi","7","3","4","42.86%","6.14","3.57","4.00","529.00","469.86"
"G","7","3","4","42.86%","2.14","4.57","7.71","300.14","280.00"
"Unknown","5","4","1","80.00%","3.40","3.80","10.60","258.00","306.60"
"ImbaTV.@Sdn","2","0","2","0.00%","3.00","7.50","3.50","203.00","180.00"
"Newbee.SanSheng","2","0","2","0.00%","0.50","5.50","8.00","230.50","209.50"
"Unknown","2","2","0","100.00%","13.50","3.00","13.50","716.00","697.50"
"Unknown","2","1","1","50.00%","7.00","4.50","9.00","547.00","478.00"
