"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Super","301","169","132","56.15%","7.16","4.18","10.42","522.60","537.23"
"Monet","292","166","126","56.85%","7.75","3.15","9.55","537.22","536.34"
"LPC","161","84","77","52.17%","2.75","5.05","12.94","267.65","299.87"
"ddc","146","87","59","59.59%","3.05","4.27","14.29","252.57","327.27"
"ah fu","131","82","49","62.60%","2.89","5.28","14.85","263.56","356.41"
"Inflame","131","82","49","62.60%","5.02","5.36","12.89","419.02","493.78"
"Yao","97","53","44","54.64%","2.81","4.40","13.11","349.78","383.21"
"xiao8","95","51","44","53.68%","3.55","4.56","13.63","358.07","337.55"
"Jixing","54","27","27","50.00%","3.54","4.02","11.52","384.59","435.96"
"Wh1te","53","24","29","45.28%","3.09","4.45","12.79","270.25","323.74"
"banana","33","15","18","45.45%","3.91","5.30","11.79","358.73","415.42"
"END","9","3","6","33.33%","7.89","2.67","8.44","522.89","469.78"
"大帅比","2","2","0","100.00%","11.00","2.00","15.50","458.50","435.00"
