"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Yao","1046","621","425","59.37%","3.60","4.01","10.53","343.48","376.55"
"Maybe","830","510","320","61.45%","8.25","3.70","8.92","555.22","560.37"
"MMY!","623","372","251","59.71%","3.00","4.50","10.12","258.40","270.42"
"xiao8","597","376","221","62.98%","3.38","4.24","10.56","362.08","373.73"
"Sylar","582","351","231","60.31%","6.20","3.19","7.85","535.41","511.69"
"ddc","521","307","214","58.93%","3.09","3.58","9.50","255.44","272.33"
"OB.DD","442","264","178","59.73%","2.76","3.83","9.02","275.89","277.54"
"Victoria","373","220","153","58.98%","2.77","5.56","13.28","265.88","316.08"
"Ame","350","212","138","60.57%","6.79","3.41","9.35","584.36","579.88"
"Rabbit","265","155","110","58.49%","6.07","2.89","7.99","527.73","490.93"
"Xz","193","116","77","60.10%","2.53","4.81","13.14","290.63","319.64"
"Faith","185","100","85","54.05%","3.16","5.01","10.12","250.12","278.91"
"InJuly","180","97","83","53.89%","4.03","3.86","9.79","370.89","389.36"
"Agressif","148","91","57","61.49%","7.11","3.33","10.44","574.23","566.06"
"Jixing","139","86","53","61.87%","4.35","4.91","11.89","372.83","393.94"
"June","131","85","46","64.89%","3.36","4.47","12.45","298.04","309.85"
"rOtk","121","69","52","57.02%","2.24","5.44","9.76","345.77","362.70"
"old eLeVeN","118","75","43","63.56%","3.57","5.79","11.61","393.23","483.58"
"Lin","112","59","53","52.68%","4.39","3.45","8.58","426.78","413.46"
"Sugar","77","43","34","55.84%","6.78","2.12","7.40","482.96","504.90"
"fy","72","38","34","52.78%","4.44","5.50","11.56","410.38","464.12"
"","38","18","20","47.37%","6.00","3.74","9.05","551.16","568.66"
"Happy Together","30","12","18","40.00%","4.37","6.07","9.37","383.77","404.27"
"大帅比","25","19","6","76.00%","4.92","4.40","12.72","430.60","468.52"
"Unknown","24","20","4","83.33%","3.25","2.88","10.08","271.54","299.38"
"Unknown","23","10","13","43.48%","3.22","4.13","9.39","261.52","293.04"
"banana","19","6","13","31.58%","1.53","5.05","10.32","224.95","242.95"
"Yousa-","15","5","10","33.33%","2.87","4.93","8.33","325.07","339.73"
"QQQ","15","10","5","66.67%","2.20","6.27","11.87","253.60","348.00"
"longdd","9","4","5","44.44%","2.22","3.78","7.78","218.11","241.44"
"Jixing","6","3","3","50.00%","2.83","5.17","12.00","352.83","389.83"
"Unknown","5","2","3","40.00%","2.60","3.60","6.40","248.00","277.40"
"Unknown","2","2","0","100.00%","3.50","3.50","7.50","270.50","247.00"
"Unknown","2","2","0","100.00%","6.50","2.50","8.00","526.50","565.00"
"ZSMJ","1","0","1","0.00%","1.00","5.00","2.00","360.00","370.00"
"-_-!","1","0","1","0.00%","2.00","6.00","5.00","271.00","211.00"
