"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Dendi","1401","812","589","57.96%","6.71","3.68","9.18","464.68","506.22"
"XBOCT","985","588","397","59.70%","6.37","4.07","8.16","525.81","524.36"
"Funn1k","806","480","326","59.55%","4.87","4.31","8.94","404.95","442.04"
"Puppey","695","441","254","63.45%","3.06","4.06","10.03","311.42","333.73"
"KuroKy","515","321","194","62.33%","3.49","4.50","9.37","276.21","312.80"
"SoNNeikO","462","235","227","50.87%","3.11","5.93","12.31","288.92","324.19"
"GeneRaL","356","189","167","53.09%","4.43","5.18","11.81","399.74","425.91"
"artstyle","276","149","127","53.99%","3.57","6.70","10.98","311.96","300.48"
"VANSKOR","225","130","95","57.78%","2.27","4.80","8.99","233.46","279.26"
"Ditya Ra","211","113","98","53.55%","6.76","4.15","10.06","536.39","516.27"
"LighTofHeaveN","185","121","64","65.41%","3.97","3.36","9.07","405.95","445.00"
"AA","150","93","57","62.00%","3.12","4.41","10.23","283.93","316.75"
"Fng","121","77","44","63.64%","2.31","4.84","9.60","235.10","275.80"
"Pajkatt","112","54","58","48.21%","6.78","3.77","8.47","546.53","520.15"
"Goblak","107","54","53","50.47%","2.47","4.93","8.15","244.51","293.79"
"Biver","107","51","56","47.66%","2.11","5.83","11.89","263.24","299.26"
"RodjER","72","41","31","56.94%","3.43","7.21","12.67","315.03","389.31"
"Crystallize","72","41","31","56.94%","6.53","3.81","8.62","524.86","566.49"
"rmN-","54","27","27","50.00%","2.56","6.19","11.06","301.11","340.65"
"DkPhobos","45","20","25","44.44%","3.96","4.13","7.93","355.93","399.84"
"Charo","28","14","14","50.00%","5.93","5.86","12.32","371.29","400.54"
"Unknown","22","16","6","72.73%","6.14","3.50","8.05","430.00","476.86"
"PSM","22","6","16","27.27%","2.05","6.45","7.59","243.14","248.41"
"Unknown","14","10","4","71.43%","7.07","4.29","10.86","458.07","495.79"
"Unknown","14","11","3","78.57%","5.07","4.79","15.07","303.50","357.71"
"yol","12","6","6","50.00%","2.00","4.75","8.33","208.75","246.33"
"COK","8","6","2","75.00%","3.62","5.38","9.75","249.75","284.75"
"Resolut1on","8","4","4","50.00%","1.50","2.88","7.75","343.38","376.25"
"ggwq1","8","4","4","50.00%","3.75","4.38","8.25","328.38","422.00"
"ALWAYSWANNAFLY","6","2","4","33.33%","2.67","7.67","8.00","256.67","246.00"
"Unknown","4","3","1","75.00%","7.75","3.25","12.75","552.50","578.25"
"Shachlo","4","3","1","75.00%","7.00","2.25","6.25","181.25","194.50"
"Wek","4","2","2","50.00%","4.25","4.00","12.50","348.25","386.25"
"Lacoste_","4","2","2","50.00%","2.50","4.75","8.75","356.25","387.75"
"Unknown","4","2","2","50.00%","3.75","5.50","7.00","272.25","303.50"
"lt","4","0","4","0.00%","2.00","7.50","7.75","226.50","195.75"
"DeMoN","4","3","1","75.00%","5.75","2.75","8.25","443.00","517.50"
"DA","4","4","0","100.00%","3.50","3.50","10.00","539.00","510.25"
"Solo","3","0","3","0.00%","4.67","8.67","7.00","325.00","389.33"
"Mag","3","3","0","100.00%","7.33","5.67","15.67","336.00","413.33"
"Travka","3","3","0","100.00%","9.33","5.00","15.67","524.00","543.00"
"Near","3","3","0","100.00%","4.67","5.00","11.33","249.33","306.33"
"SingSing","3","2","1","66.67%","4.33","4.67","13.33","407.33","502.00"
"","3","1","2","33.33%","6.33","5.00","9.67","579.00","512.00"
"Unknown","3","3","0","100.00%","6.33","2.33","11.67","491.67","538.00"
"Alex-","3","2","1","66.67%","1.33","3.33","2.33","205.33","232.00"
"@LeBronDota","3","1","2","33.33%","1.33","6.67","6.33","199.67","193.33"
"Black^","3","3","0","100.00%","8.00","2.67","11.33","442.67","619.33"
"Miracle-","2","0","2","0.00%","1.00","7.50","5.00","177.00","191.00"
"Kudes","2","1","1","50.00%","5.00","5.50","11.00","250.00","225.50"
"w33","2","2","0","100.00%","7.50","5.00","10.50","406.00","507.00"
"xXxdotakillerxX","2","2","0","100.00%","6.50","4.50","13.50","291.00","329.50"
"1437","2","1","1","50.00%","5.50","5.50","12.50","305.50","393.50"
"Unknown","2","0","2","0.00%","5.00","11.00","14.50","193.00","269.50"
"tupo luchshiy","1","1","0","100.00%","5.00","2.00","8.00","410.00","477.00"
"Unknown","1","0","1","0.00%","0.00","10.00","5.00","167.00","191.00"
"JotM","1","0","1","0.00%","0.00","3.00","11.00","166.00","209.00"
"bom bom!","1","0","1","0.00%","4.00","8.00","21.00","233.00","323.00"
"Chill","1","0","1","0.00%","2.00","6.00","7.00","221.00","271.00"
"ComeWithMe","1","1","0","100.00%","6.00","8.00","19.00","348.00","400.00"
"Unknown","1","1","0","100.00%","6.00","6.00","12.00","401.00","458.00"
"Unknown","1","1","0","100.00%","14.00","9.00","20.00","372.00","375.00"
"Mantis","1","1","0","100.00%","10.00","7.00","18.00","431.00","524.00"
"SexyBamboe","1","1","0","100.00%","8.00","11.00","19.00","380.00","527.00"
"Immortal","1","1","0","100.00%","7.00","7.00","15.00","451.00","470.00"
"Cr1t-","1","1","0","100.00%","2.00","6.00","14.00","274.00","406.00"
