"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Mu","693","432","261","62.34%","6.67","3.64","9.20","497.18","503.07"
"kaka","579","378","201","65.28%","2.91","5.38","14.13","302.39","348.22"
"kpii","578","379","199","65.57%","3.33","4.03","12.05","393.66","429.35"
"Hao","574","372","202","64.81%","7.27","3.37","8.48","580.56","547.56"
"banana","442","263","179","59.50%","3.03","4.62","9.55","262.49","281.45"
"Newbee.SanSheng","396","232","164","58.59%","2.82","4.54","9.83","258.30","274.22"
"Sccc","380","238","142","62.63%","8.74","3.48","9.62","622.84","596.38"
"Moogy","380","238","142","62.63%","7.36","3.27","9.64","541.73","545.74"
"Faith","373","235","138","63.00%","2.77","5.31","13.36","280.05","334.30"
"Rabbit","258","147","111","56.98%","5.36","4.16","9.54","438.71","469.96"
"ChuaN","221","155","66","70.14%","3.16","3.58","11.75","291.56","303.31"
"xiao8","150","98","52","65.33%","3.59","3.59","10.66","401.09","407.64"
"June","113","55","58","48.67%","3.44","4.49","9.93","338.40","368.35"
"2Lei","103","55","48","53.40%","3.60","3.97","10.91","343.86","381.07"
"Le","53","30","23","56.60%","2.42","4.43","9.28","256.89","273.23"
"Kingj","40","21","19","52.50%","2.40","4.15","9.12","271.02","260.30"
"-_-!","33","22","11","66.67%","2.36","4.85","11.06","268.21","289.21"
"chisbug","33","19","14","57.58%","2.88","4.45","10.55","265.52","282.06"
"Unknown","21","5","16","23.81%","4.43","5.62","10.05","365.86","365.29"
"Unknown","9","4","5","44.44%","4.00","5.22","8.56","315.56","304.78"
"mikasa","9","8","1","88.89%","9.00","4.67","12.44","508.44","594.00"
"ZSMJ","7","3","4","42.86%","2.00","3.43","4.71","248.29","231.29"
"牛蛙君Xx!!","2","1","1","50.00%","5.50","12.00","14.50","454.00","493.00"
"zzz","2","0","2","0.00%","10.50","4.50","7.50","400.00","459.00"
"fcb","2","0","2","0.00%","2.00","6.00","13.00","205.00","196.50"
"730","2","0","2","0.00%","5.50","4.50","17.00","307.00","352.00"
"876","2","0","2","0.00%","2.00","5.50","6.50","208.50","220.00"
"BurNIng","1","0","1","0.00%","1.00","5.00","2.00","344.00","305.00"
"MMY!","1","0","1","0.00%","0.00","5.00","3.00","140.00","121.00"
"old LaNm","1","0","1","0.00%","0.00","4.00","2.00","161.00","134.00"
"iceiceice","1","0","1","0.00%","1.00","4.00","1.00","238.00","247.00"
"MuShi","1","0","1","0.00%","4.00","2.00","0.00","424.00","433.00"
