"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"n0tail","465","295","170","63.44%","5.79","4.30","10.69","518.84","496.70"
"Fly","458","290","168","63.32%","2.88","4.83","12.00","287.05","315.97"
"JerAx","245","150","95","61.22%","3.17","5.48","13.83","296.12","354.86"
"s4","245","150","95","61.22%","4.61","4.94","12.26","373.06","433.21"
"MoonMeander","220","145","75","65.91%","3.70","4.32","10.99","387.31","401.51"
"Cr1t-","220","145","75","65.91%","2.95","4.80","11.81","288.04","309.59"
"Miracle","220","145","75","65.91%","8.72","3.88","7.62","582.85","548.55"
"ana","189","116","73","61.38%","8.23","4.73","9.39","596.90","568.25"
"Resolut1on","49","29","20","59.18%","11.24","3.55","9.90","655.12","633.00"
"KillerCow","17","11","6","64.71%","6.29","2.88","6.24","604.24","555.76"
"YapzOr","7","5","2","71.43%","3.71","3.29","19.57","319.43","436.57"
"Trixi","7","5","2","71.43%","6.71","4.14","18.29","435.00","468.29"
