"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Silent","1039","648","391","62.37%","6.51","4.27","9.26","500.73","506.94"
"Resolut1on","772","478","294","61.92%","7.43","3.97","9.56","509.17","532.78"
"ALWAYSWANNAFLY","703","459","244","65.29%","3.17","5.64","10.07","277.95","297.04"
"Scandal","542","311","231","57.38%","5.32","3.99","9.36","416.96","456.25"
"ALOHADANCE","450","264","186","58.67%","3.92","6.21","10.88","329.07","361.68"
"VANSKOR","419","275","144","65.63%","2.29","4.63","10.70","251.63","286.11"
"Mag","411","279","132","67.88%","4.68","3.90","9.60","385.45","425.09"
"Miposhka","386","205","181","53.11%","2.75","5.94","13.86","292.16","321.51"
"Funn1k","313","208","105","66.45%","5.41","4.58","10.50","383.97","427.91"
"yoky-","310","180","130","58.06%","5.76","4.55","10.16","414.79","456.86"
"Immortal","307","175","132","57.00%","6.24","3.78","8.30","472.80","497.32"
"fn","272","156","116","57.35%","8.80","3.46","9.48","593.34","602.18"
"Ghostik","266","144","122","54.14%","4.65","4.97","12.25","398.97","445.78"
"KingR?!","253","131","122","51.78%","3.06","5.77","11.90","266.93","286.34"
"Goblak","250","159","91","63.60%","3.25","4.53","9.44","278.47","308.93"
"Chappie","184","107","77","58.15%","7.79","4.00","10.02","590.46","601.12"
"Nofear","168","95","73","56.55%","2.57","5.75","9.60","265.66","269.70"
"Solo","143","83","60","58.04%","3.64","6.32","10.64","297.70","336.59"
"AfterLife","135","68","67","50.37%","4.16","4.73","11.98","435.09","439.40"
"RAMZES666","125","63","62","50.40%","8.02","3.83","10.94","580.22","537.56"
"XBOCT","100","63","37","63.00%","4.52","5.06","10.15","438.77","451.47"
"vigoss","71","31","40","43.66%","5.35","4.44","7.92","349.25","436.54"
"RodjER","46","27","19","58.70%","2.91","6.91","14.67","283.17","369.54"
"LighTofHeaveN","45","15","30","33.33%","3.09","4.09","6.29","373.58","422.24"
"667","30","16","14","53.33%","4.13","5.07","10.27","272.70","269.77"
"yoyo","23","13","10","56.52%","2.70","4.22","8.65","317.09","337.52"
"Fng","22","11","11","50.00%","2.95","5.23","13.14","267.09","308.82"
"G","21","8","13","38.10%","5.48","4.71","7.95","457.10","458.62"
"Unknown","21","11","10","52.38%","2.67","5.05","9.19","245.10","272.14"
"SoNNeikO","19","8","11","42.11%","3.26","5.05","9.32","258.37","309.32"
"SkyWarrior","18","7","11","38.89%","5.28","5.00","6.39","354.00","393.67"
"UnderShock","18","11","7","61.11%","7.94","3.94","9.83","558.50","547.61"
"Silhouette","17","3","14","17.65%","2.47","7.82","6.47","216.88","236.94"
"j4","16","6","10","37.50%","2.75","6.38","8.38","265.38","314.50"
"GeneRaL","15","6","9","40.00%","7.93","4.27","7.13","499.20","501.67"
"Flow","13","6","7","46.15%","3.54","5.15","10.38","311.00","329.69"
"Unknown","12","10","2","83.33%","4.25","4.92","14.33","379.42","415.58"
"gorets","12","7","5","58.33%","2.33","6.92","9.17","256.67","242.50"
"sQreen","11","3","8","27.27%","1.45","5.45","4.36","181.64","189.55"
"DA","8","6","2","75.00%","5.12","4.50","13.50","495.38","517.00"
"Mitch--","8","0","8","0.00%","1.75","4.00","3.38","158.88","187.88"
"Samchik","7","3","4","42.86%","1.43","4.57","4.86","158.29","178.71"
"twitchtv/rmngod","6","2","4","33.33%","7.17","4.50","7.00","395.67","482.83"
"Thirteen","5","4","1","80.00%","3.20","4.00","11.40","283.60","313.60"
"The_apathy","5","3","2","60.00%","2.60","5.60","10.80","241.00","252.80"
"AA","4","2","2","50.00%","2.50","3.75","4.75","228.75","288.50"
"Revy","4","0","4","0.00%","0.75","4.50","5.00","176.75","197.50"
"klif","4","1","3","25.00%","2.50","4.00","7.50","193.25","237.25"
"Unknown","3","1","2","33.33%","2.00","5.33","9.00","165.33","192.33"
"yol","3","1","2","33.33%","2.33","9.00","10.67","249.33","331.00"
"Ar1se-","3","2","1","66.67%","6.00","1.67","9.33","353.67","395.33"
"Unknown","3","3","0","100.00%","2.67","2.67","9.33","264.33","299.00"
"JotM","3","0","3","0.00%","1.00","7.33","2.33","159.00","171.67"
"Mirage-","3","1","2","33.33%","3.33","4.33","6.00","410.33","390.33"
"Windx","2","0","2","0.00%","1.00","6.00","4.50","191.50","184.50"
"Wek","2","1","1","50.00%","2.50","7.50","6.00","246.00","270.50"
"7Mad-","2","1","1","50.00%","1.00","7.00","15.00","248.50","291.00"
"shur1k","2","0","2","0.00%","1.00","7.00","2.50","137.50","133.00"
"Unknown","2","0","2","0.00%","1.50","7.50","5.50","162.50","204.00"
"Enlight","2","0","2","0.00%","1.00","8.50","3.50","168.50","187.00"
"D3XTR","1","0","1","0.00%","3.00","6.00","2.00","161.00","145.00"
"Unknown","1","0","1","0.00%","4.00","11.00","4.00","406.00","469.00"
"Maden","1","1","0","100.00%","4.00","0.00","3.00","436.00","598.00"
"Universe","1","1","0","100.00%","8.00","8.00","20.00","269.00","294.00"
"ggwq1","1","1","0","100.00%","5.00","2.00","16.00","540.00","748.00"
"MagE-","1","1","0","100.00%","9.00","2.00","6.00","522.00","575.00"
