"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"BuLba","594","338","256","56.90%","4.31","3.56","9.20","362.99","396.48"
"TC","542","312","230","57.56%","4.99","3.04","7.98","490.01","501.98"
"KuroKy","530","349","181","65.85%","2.97","5.63","12.01","293.05","319.45"
"MATUMBAMAN","530","349","181","65.85%","7.37","3.68","9.70","544.00","539.44"
"MinD_ContRoL","529","348","181","65.78%","4.04","4.65","12.22","401.76","419.15"
"FLUFFNSTUFF","421","246","175","58.43%","3.05","4.26","8.88","257.38","278.94"
"wayto","283","151","132","53.36%","2.81","3.98","7.59","287.66","308.20"
"JerAx","280","179","101","63.93%","2.99","5.41","11.99","285.43","298.83"
"FATA-","277","178","99","64.26%","7.20","3.79","9.71","561.00","540.82"
"qojqva","274","145","129","52.92%","5.28","3.24","6.65","518.18","510.15"
"Korok","259","162","97","62.55%","7.03","3.64","8.29","457.27","523.21"
"ixmike88","258","161","97","62.40%","2.14","5.09","9.13","212.88","244.10"
"Miracle","250","170","80","68.00%","9.30","4.36","8.35","601.79","594.72"
"GH","208","151","57","72.60%","2.49","6.10","14.16","323.77","364.00"
"DeMoN","121","62","59","51.24%","3.12","4.10","8.07","319.24","320.59"
"MSS","26","17","9","65.38%","4.19","2.58","9.50","359.19","399.19"
"kzz","7","4","3","57.14%","4.00","3.86","8.71","295.86","378.14"
"Sneyking","7","5","2","71.43%","2.86","2.86","8.00","413.14","449.71"
"Heen","4","1","3","25.00%","2.00","6.00","7.25","218.75","232.75"
"Bumblebee","4","2","2","50.00%","3.00","2.50","7.00","441.00","429.25"
"PPD","3","1","2","33.33%","0.00","3.00","10.33","254.00","296.33"
"TimadoisGarbage","2","2","0","100.00%","1.50","3.50","10.00","380.00","385.00"
"murs","2","2","0","100.00%","5.50","2.50","9.00","268.00","329.00"
"Silhouette","2","2","0","100.00%","1.50","4.50","9.50","248.50","242.50"
"Unknown","2","1","1","50.00%","4.00","3.50","4.50","412.00","442.50"
"Jeyo","1","1","0","100.00%","2.00","0.00","3.00","314.00","261.00"
"csgoshooter.com","1","0","1","0.00%","4.00","5.00","6.00","231.00","294.00"
"Pajkatt","1","1","0","100.00%","9.00","1.00","15.00","443.00","507.00"
"SingSing","1","1","0","100.00%","4.00","4.00","12.00","508.00","491.00"
"depressed","1","0","1","0.00%","2.00","8.00","6.00","347.00","411.00"
"Arteezy","1","1","0","100.00%","5.00","5.00","12.00","388.00","515.00"
"Unknown","1","0","1","0.00%","1.00","6.00","8.00","207.00","216.00"
"Xcalibur","1","1","0","100.00%","14.00","3.00","5.00","639.00","610.00"
"Alex-","1","1","0","100.00%","3.00","4.00","8.00","358.00","344.00"
"inphinity","1","1","0","100.00%","12.00","6.00","13.00","407.00","490.00"
