"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Puppey","702","463","239","65.95%","2.77","4.57","11.50","314.97","340.02"
"pieliedie","288","164","124","56.94%","2.34","4.69","11.00","274.40","281.76"
"MidOne","265","173","92","65.28%","8.77","3.79","10.05","575.17","578.82"
"KuroKy","261","197","64","75.48%","6.13","4.23","9.27","436.10","440.25"
"s4","259","195","64","75.29%","6.61","4.29","10.52","456.31","519.64"
"MP","203","127","76","62.56%","6.78","3.58","9.98","516.02","517.72"
"Arteezy","194","127","67","65.46%","7.77","3.92","8.23","594.37","572.07"
"EternaLEnVy","176","93","83","52.84%","6.23","3.72","8.51","535.82","518.17"
"KheZu","167","110","57","65.87%","3.08","3.30","11.99","394.40","430.81"
"YapzOr","153","102","51","66.67%","4.17","4.00","15.09","313.39","427.56"
"MiSeRy","140","84","56","60.00%","4.13","4.71","10.55","406.15","429.69"
"zai","136","101","35","74.26%","5.12","4.72","9.85","418.60","458.80"
"n0tail","125","96","29","76.80%","3.86","5.51","13.54","289.67","363.26"
"w33","118","67","51","56.78%","7.81","4.45","8.14","496.52","512.48"
"Fly","103","79","24","76.70%","5.30","3.84","10.05","444.70","491.77"
"Ace","62","46","16","74.19%","7.44","3.31","10.16","574.34","626.13"
"FATA-","44","30","14","68.18%","4.98","4.64","13.07","443.86","499.73"
"EternaLEnVy","41","25","16","60.98%","6.59","4.02","9.32","523.83","530.61"
"BuLba","37","20","17","54.05%","2.89","3.76","12.84","366.59","379.68"
"Forev","36","17","19","47.22%","4.94","5.44","12.36","412.86","460.44"
"Universe","21","6","15","28.57%","3.48","4.24","10.48","349.10","343.38"
"zeezbruh","13","5","8","38.46%","1.77","3.92","9.85","248.38","256.62"
"Unknown","7","4","3","57.14%","3.57","4.00","7.43","475.57","496.29"
"999","6","2","4","33.33%","5.33","4.17","7.67","551.33","566.33"
"Unknown","5","1","4","20.00%","8.40","6.20","11.00","594.60","502.40"
"qwe","5","4","1","80.00%","4.60","6.40","8.00","374.00","405.60"
"Free","4","4","0","100.00%","5.25","4.75","12.25","515.00","527.00"
"HeStEJoE-RoTTeN","4","4","0","100.00%","6.00","2.75","14.75","444.50","569.25"
"SparDa","3","2","1","66.67%","5.00","7.67","12.67","393.67","429.33"
"DkPhobos","2","2","0","100.00%","7.00","2.50","10.00","371.50","463.00"
"AdmiralBulldog","2","2","0","100.00%","14.50","3.50","13.00","536.50","557.50"
