"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"fy","899","561","338","62.40%","3.45","4.37","10.27","309.04","324.88"
"Fenrir","851","546","305","64.16%","3.32","4.17","9.74","267.75","278.89"
"Super","737","474","263","64.31%","6.11","4.00","9.99","471.70","487.99"
"rOtk","438","260","178","59.36%","2.96","4.74","9.97","380.24","390.06"
"iceiceice","389","254","135","65.30%","4.24","4.94","10.50","402.98","432.10"
"Sylar","343","202","141","58.89%","6.14","3.06","8.13","545.81","516.42"
"hym","283","149","134","52.65%","3.20","5.48","12.32","290.39","322.35"
"Yang","257","139","118","54.09%","3.36","4.32","11.81","388.60","439.67"
"END","232","128","104","55.17%","6.94","3.02","8.79","538.86","524.75"
"BurNIng","219","113","106","51.60%","5.26","4.25","9.29","421.33","419.14"
"ddc","197","111","86","56.35%","2.58","4.21","12.21","262.49","288.81"
"Black^","190","130","60","68.42%","6.22","2.94","8.09","540.44","527.97"
"Ori","188","110","78","58.51%","8.58","3.32","9.92","536.91","580.07"
"Hao","179","116","63","64.80%","7.45","3.70","8.05","551.84","566.34"
"CTY","157","83","74","52.87%","7.53","3.93","8.13","532.55","543.62"
"ghost","133","71","62","53.38%","6.41","3.64","8.57","546.12","530.65"
"old LaNm","83","52","31","62.65%","2.76","6.25","15.96","268.17","387.67"
"Paparazi","83","52","31","62.65%","7.92","3.58","11.43","562.80","610.17"
"old eLeVeN","83","52","31","62.65%","5.63","6.30","12.73","446.14","528.95"
"Unknown","77","48","29","62.34%","5.16","2.97","9.03","467.26","480.35"
"JaL","58","36","22","62.07%","3.78","4.28","10.14","387.21","409.60"
"ChuaN","45","22","23","48.89%","2.71","4.69","11.84","279.78","333.07"
"mikasa","34","19","15","55.88%","6.53","3.53","9.59","489.79","485.71"
"jdh","30","12","18","40.00%","2.50","4.97","8.53","281.50","267.23"
"ZSMJ","27","18","9","66.67%","2.48","3.07","10.33","359.22","357.07"
"Ayo","21","10","11","47.62%","2.76","6.05","12.29","249.38","293.24"
"DXM","21","8","13","38.10%","7.14","4.86","8.43","519.43","491.38"
"Fade","20","9","11","45.00%","4.00","5.35","14.35","273.55","326.85"
"Another","8","4","4","50.00%","5.75","2.88","8.25","510.00","505.88"
"yChen-","5","1","4","20.00%","5.20","5.20","9.20","449.40","471.20"
"La fee vErte‘","4","4","0","100.00%","3.25","2.75","10.25","443.75","442.75"
"Jixing","2","0","2","0.00%","1.50","6.00","6.50","315.00","367.50"
"Nono","2","0","2","0.00%","2.50","2.50","4.50","465.50","347.00"
"121~","2","0","2","0.00%","3.50","5.50","8.50","247.00","212.00"
"SuN","2","0","2","0.00%","0.50","4.50","7.00","164.00","210.00"
"Unknown","2","2","0","100.00%","9.50","2.00","11.50","645.50","635.00"
"Jixing","1","1","0","100.00%","6.00","9.00","14.00","440.00","524.00"
"Unknown","1","1","0","100.00%","1.00","5.00","16.00","355.00","308.00"
"Unknown","1","1","0","100.00%","19.00","2.00","11.00","422.00","487.00"
"Unknown","1","1","0","100.00%","4.00","5.00","20.00","294.00","362.00"
