"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Illidan","914","482","432","52.74%","7.18","4.47","8.63","510.13","502.60"
"G","851","422","429","49.59%","8.06","4.56","8.21","506.62","518.31"
"Lil","716","445","271","62.15%","3.88","4.99","11.76","294.41","336.53"
"COK","557","258","299","46.32%","2.80","5.10","9.64","251.79","278.25"
"Fng","534","298","236","55.81%","2.81","6.02","12.10","278.65","319.55"
"DkPhobos","442","251","191","56.79%","5.08","4.11","10.56","396.38","442.69"
"JotM","422","200","222","47.39%","2.58","5.63","9.55","233.78","264.27"
"AA","389","161","228","41.39%","3.46","5.23","8.55","307.58","332.37"
"tmw","321","168","153","52.34%","5.81","4.43","8.54","389.20","448.44"
"KSi","310","167","143","53.87%","3.58","3.34","9.91","357.76","392.78"
"Solo","258","182","76","70.54%","2.39","6.00","13.18","269.07","288.21"
"No[o]ne-","254","180","74","70.87%","8.04","2.84","9.52","598.08","598.81"
"9pasha","252","178","74","70.63%","3.30","3.87","12.10","379.52","418.69"
"RAMZES666","251","179","72","71.31%","7.45","2.70","9.63","588.09","583.63"
"Sedoy","250","139","111","55.60%","4.69","5.28","10.49","388.90","444.08"
"633","223","120","103","53.81%","7.07","5.30","9.96","499.25","512.35"
"yol","222","121","101","54.50%","3.02","6.17","10.53","258.85","302.30"
"Unknown","166","94","72","56.63%","3.77","4.54","10.16","340.67","372.40"
"Mag","162","90","72","55.56%","5.65","4.64","10.56","387.82","463.17"
"Nofear","124","62","62","50.00%","3.16","6.67","13.90","263.37","289.92"
"yoky-","123","62","61","50.41%","5.49","3.80","12.65","473.02","473.85"
"ALOHADANCE","119","61","58","51.26%","5.99","5.52","11.61","434.47","442.94"
"LighTofHeaveN","102","33","69","32.35%","2.72","4.18","7.27","378.26","377.99"
"Goblak","89","45","44","50.56%","2.72","5.96","8.35","226.90","285.07"
"Scandal","65","38","27","58.46%","5.83","3.58","8.91","440.32","500.02"
"Silent","56","32","24","57.14%","6.16","3.98","9.27","535.66","513.75"
"Resolut1on","35","13","22","37.14%","4.29","3.91","8.14","424.57","464.57"
"Immortal","28","7","21","25.00%","5.14","4.43","6.75","436.18","471.96"
"twitchtv/rmngod","19","10","9","52.63%","4.05","3.95","7.95","479.47","468.53"
"DeMoN","13","7","6","53.85%","3.38","6.46","10.00","250.00","306.92"
"Shachlo","11","4","7","36.36%","5.36","5.73","11.73","435.27","457.27"
"klif","9","1","8","11.11%","3.22","5.33","8.78","296.89","316.78"
"KuroKy","9","3","6","33.33%","4.11","4.33","10.22","366.78","418.67"
"｡◕‿◕｡̿","7","2","5","28.57%","2.00","6.29","7.14","192.14","260.00"
"wejustzik","6","2","4","33.33%","2.17","5.33","8.83","177.00","236.83"
"XBOCT","4","1","3","25.00%","6.25","8.25","7.75","495.75","519.50"
"KheZu","3","1","2","33.33%","5.00","4.67","10.00","424.00","447.33"
"Unknown","3","1","2","33.33%","3.67","6.67","7.67","274.67","279.33"
"667","3","0","3","0.00%","4.67","8.33","4.67","438.33","328.00"
"cca","2","1","1","50.00%","3.00","5.00","6.00","367.00","374.00"
"Unknown","2","0","2","0.00%","4.50","4.00","8.50","397.00","446.50"
"GeneRaL","2","2","0","100.00%","4.00","1.00","11.00","453.00","420.50"
"Unknown","2","0","2","0.00%","3.50","5.00","2.00","321.50","307.50"
"Cr1t-","2","2","0","100.00%","0.50","6.50","12.00","218.00","342.50"
"Unknown","2","0","2","0.00%","1.50","7.00","8.50","269.00","313.50"
"Unknown","2","1","1","50.00%","3.50","2.00","4.50","346.00","368.00"
"jester","2","0","2","0.00%","2.50","4.00","1.50","361.00","335.50"
"Solo","2","2","0","100.00%","1.50","3.00","9.00","367.50","353.00"
"Q","1","0","1","0.00%","1.00","7.00","16.00","216.00","298.00"
"NMC.KZ.ResevExE","1","0","1","0.00%","2.00","4.00","2.00","275.00","346.00"
"Guardian","1","0","1","0.00%","8.00","7.00","9.00","244.00","297.00"
"KGB","1","1","0","100.00%","19.00","4.00","13.00","671.00","616.00"
"Unknown","1","0","1","0.00%","8.00","10.00","20.00","262.00","308.00"
"wayto","1","1","0","100.00%","4.00","6.00","19.00","265.00","524.00"
"Tillithai","1","0","1","0.00%","2.00","7.00","3.00","202.00","274.00"
"IllidanSTR2","1","1","0","100.00%","5.00","3.00","14.00","404.00","419.00"
"Korok","1","1","0","100.00%","15.00","3.00","23.00","529.00","626.00"
"Mirage-","1","0","1","0.00%","3.00","4.00","2.00","458.00","451.00"
"Agressif","1","0","1","0.00%","7.00","6.00","8.00","519.00","637.00"
"ComeWithMe","1","1","0","100.00%","5.00","13.00","12.00","310.00","430.00"
"Nexus","1","0","1","0.00%","4.00","2.00","14.00","349.00","379.00"
"Windx","1","0","1","0.00%","4.00","3.00","4.00","298.00","245.00"
"Maybe","1","0","1","0.00%","7.00","9.00","5.00","424.00","412.00"
"nex1us","1","0","1","0.00%","5.00","7.00","4.00","279.00","321.00"
"VP.RAMZES666","1","1","0","100.00%","6.00","0.00","7.00","647.00","523.00"
"Liekkas","1","0","1","0.00%","2.00","6.00","7.00","260.00","300.00"
"Fogged","1","1","0","100.00%","4.00","13.00","16.00","225.00","306.00"
"Charo","1","0","1","0.00%","3.00","6.00","8.00","209.00","239.00"
